session,task,run,subj,name,trial.type,iti,cue,probe,target.color,location,cue.cresp,target.cresp,cue.rt,cue.acc,cue.resp,target.rt,target.acc,target.resp,trialacc,time.cue.onset.abs,time.target.onset.abs,time.target.rt.abs,time.cue.rt.abs,time.scan.start,trial.num,acc,time.cue.onset,time.cue.rt,time.target.onset,time.target.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,axc,1,102008,bas_axc_run1_102008,AY,1600,A,H,white,center,1,1,378,1,1,637,1,1,1,75524,80323,80960,75902,44909,1,1,30.615,30.993,35.414,36.051,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,AX,2800,A,X,white,center,1,2,515,1,1,363,1,2,1,82723,87522,87885,83238,44909,2,1,37.814,38.329,42.613,42.976,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,AY,4000,A,D,white,center,1,1,383,1,1,876,1,1,1,91138,95937,96813,91521,44909,3,1,46.229,46.612,51.028,51.904,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,AX,2800,A,X,white,center,1,2,414,1,1,428,1,2,1,100736,105536,105964,101150,44909,4,1,55.827,56.241,60.627,61.055,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,BY,4000,U,D,white,center,1,1,573,1,1,445,1,1,1,109135,113934,114379,109708,44909,5,1,64.226,64.799,69.025,69.47,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,BY,4000,C,D,white,center,1,1,619,1,1,432,1,1,1,118734,123533,123965,119353,44909,6,1,73.825,74.444,78.624,79.056,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,BY,2800,H,U,white,center,1,1,321,1,1,551,1,1,1,128332,133131,133682,128653,44909,7,1,83.423,83.744,88.222,88.773,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,BY,1600,U,P,white,center,1,1,379,1,1,689,1,1,1,136731,141530,142219,137110,44909,8,1,91.822,92.201,96.621,97.31,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,Ang,1600,A,5,white,center,1,,471,1,1,0,1,,1,143930,148729,0,144401,44909,9,1,99.021,99.492,103.82,-44.909,28.415,260.028,491.625,231.633,463.229,694.826
bas,axc,1,102008,bas_axc_run1_102008,AX,2800,A,X,white,center,1,2,548,1,1,363,1,2,1,151128,155928,156291,151676,44909,10,1,106.219,106.767,111.019,111.382,28.415,260.028,491.625,231.633,463.229,694.826
