session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trial.type.switch
baseline,Cuedts,1,102008,bas_cue_run1_102008,6I,e,v,Con,n,1,1,,,red,black,green,Inc,3200,1,1301,1,1,97502,102002,103303,66376,1,31.126,35.626,36.927,28.427,274.421,520.415,246.026,492.037,738.031,trial1
baseline,Cuedts,1,102008,bas_cue_run1_102008,I6,e,v,Con,l,1,1,,Switch,red,black,green,Inc,4400,1,853,1,1,109500,114000,114853,66376,2,43.124,47.624,48.477,28.427,274.421,520.415,246.026,492.037,738.031,ConSwitch
baseline,Cuedts,1,102008,bas_cue_run1_102008,A2,e,v,Con,l,1,1,,Repeat,red,black,black,NoInc,3200,1,906,1,1,122698,127198,128104,66376,3,56.322,60.822,61.728,28.427,274.421,520.415,246.026,492.037,738.031,ConRepeat
baseline,Cuedts,1,102008,bas_cue_run1_102008,I6,e,v,Con,n,1,1,,Switch,red,black,black,NoInc,4400,1,595,1,1,134696,139196,139791,66376,4,68.32,72.82,73.415,28.427,274.421,520.415,246.026,492.037,738.031,ConSwitch
baseline,Cuedts,1,102008,bas_cue_run1_102008,B1,o,c,Con,n,2,2,,Repeat,red,black,black,NoInc,2000,1,780,2,2,147894,152394,153174,66376,5,81.518,86.018,86.798,28.427,274.421,520.415,246.026,492.037,738.031,ConRepeat
baseline,Cuedts,1,102008,bas_cue_run1_102008,B2,e,c,InCon,n,1,2,,Repeat,red,black,black,NoInc,2000,1,890,1,1,158693,163192,164082,66376,6,92.317,96.816,97.706,28.427,274.421,520.415,246.026,492.037,738.031,InConRepeat
baseline,Cuedts,1,102008,bas_cue_run1_102008,1B,o,c,Con,n,2,2,,Repeat,red,black,black,NoInc,2000,1,706,2,2,169491,173990,174696,66376,7,103.115,107.614,108.32,28.427,274.421,520.415,246.026,492.037,738.031,ConRepeat
baseline,Cuedts,1,102008,bas_cue_run1_102008,D4,e,c,InCon,n,1,2,,Repeat,red,black,green,Inc,3200,1,804,1,1,180306,184805,185609,66376,8,113.93,118.429,119.233,28.427,274.421,520.415,246.026,492.037,738.031,InConRepeat
baseline,Cuedts,1,102008,bas_cue_run1_102008,5H,o,c,Con,l,2,2,,Switch,red,black,black,NoInc,4400,1,837,2,2,192304,196803,197640,66376,9,125.928,130.427,131.264,28.427,274.421,520.415,246.026,492.037,738.031,ConSwitch
baseline,Cuedts,1,102008,bas_cue_run1_102008,4D,e,c,InCon,n,1,2,,Switch,red,black,green,Inc,3200,1,624,1,1,205502,210001,210625,66376,10,139.126,143.625,144.249,28.427,274.421,520.415,246.026,492.037,738.031,InConSwitch
baseline,Cuedts,1,102008,bas_cue_run1_102008,B1,o,c,Con,l,2,2,,Switch,red,black,black,NoInc,3200,1,1320,2,2,217500,221999,223319,66376,11,151.124,155.623,156.943,28.427,274.421,520.415,246.026,492.037,738.031,ConSwitch
baseline,Cuedts,1,102008,bas_cue_run1_102008,1A,o,v,InCon,l,2,1,,Repeat,red,black,black,NoInc,2000,1,941,1,1,229498,233997,234938,66376,12,163.122,167.621,168.562,28.427,274.421,520.415,246.026,492.037,738.031,InConRepeat
