session,task,run,subj,name,trial.type,load,numtrials,probe,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,syrup,4000,1,1234,2,2,154438,163237,164471,123626,1,30.812,39.611,40.845,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,8,2,scale,1600,1,871,1,1,168836,177634,178505,123626,2,45.21,54.008,54.879,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,8,2,doll,4000,1,1077,1,1,180834,189649,190726,123626,3,57.208,66.023,67.1,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,threat,2800,1,741,2,2,195248,204047,204788,123626,4,71.622,80.421,81.162,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,6,1,parrot,2800,1,545,1,1,208446,217245,217790,123626,5,84.82,93.619,94.164,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,8,2,chance,2800,1,676,2,2,221644,230443,231119,123626,6,98.018,106.817,107.493,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,5,2,blur,4000,1,627,1,1,234842,243641,244268,123626,7,111.216,120.015,120.642,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,7,2,rash,1600,1,583,2,2,249240,258038,258621,123626,8,125.614,134.412,134.995,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,5,2,tube,1600,1,581,1,1,261238,270036,270617,123626,9,137.612,146.41,146.991,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,share,2800,1,834,2,2,273236,282034,282868,123626,10,149.61,158.408,159.242,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,7,2,wealth,1600,0,751,1,2,286434,295249,296000,123626,11,162.808,171.623,172.374,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,8,2,bush,2800,0,1340,1,2,298449,307247,308587,123626,12,174.823,183.621,184.961,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,7,1,straw,4000,1,814,1,1,311646,320445,321259,123626,13,188.02,196.819,197.633,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,6,1,frost,1600,1,712,2,2,326044,334843,335555,123626,14,202.418,211.217,211.929,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,RN,5,1,quart,4000,1,598,1,1,338042,346841,347439,123626,15,214.416,223.215,223.813,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,6,1,taxi,2800,1,692,1,1,382435,391234,391926,123626,16,258.809,267.608,268.3,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,8,2,liar,4000,1,670,1,1,395633,404448,405118,123626,17,272.007,280.822,281.492,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,7,2,need,4000,1,1616,2,2,410048,418846,420462,123626,18,286.422,295.22,296.836,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,7,2,bean,1600,1,928,2,2,424445,433244,434172,123626,19,300.819,309.618,310.546,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,8,3,bees,2800,1,667,2,2,436443,445242,445909,123626,20,312.817,321.616,322.283,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,visit,2800,1,552,2,2,449641,458440,458992,123626,21,326.015,334.814,335.366,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,7,1,logic,1600,1,624,1,1,462839,471638,472262,123626,22,339.213,348.012,348.636,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,people,4000,1,704,2,2,474837,483636,484340,123626,23,351.211,360.01,360.714,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,8,2,heater,1600,0,774,2,1,489235,498034,498808,123626,24,365.609,374.408,375.182,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,RN,5,1,noise,1600,0,916,2,1,501233,510048,510964,123626,25,377.607,386.422,387.338,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,5,2,pole,2800,0,1124,2,1,513248,522046,523170,123626,26,389.622,398.42,399.544,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,8,3,city,1600,1,808,2,2,526446,535244,536052,123626,27,402.82,411.618,412.426,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,8,3,carpet,4000,1,652,2,2,538444,547242,547894,123626,28,414.818,423.616,424.268,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,tags,4000,1,1192,2,2,552842,561640,562832,123626,29,429.216,438.014,439.206,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,5,2,greed,2800,1,700,1,1,567239,576038,576738,123626,30,443.613,452.412,453.112,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,5,2,pans,1600,1,682,1,1,610449,619248,619930,123626,31,486.823,495.622,496.304,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,muscle,1600,1,1121,2,2,622447,631246,632367,123626,32,498.821,507.62,508.741,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,8,2,bugs,1600,1,1071,2,2,634445,643244,644315,123626,33,510.819,519.618,520.689,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,RN,5,1,fusion,2800,1,752,1,1,646443,655242,655994,123626,34,522.817,531.616,532.368,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,8,2,shell,1600,1,933,1,1,659641,668440,669373,123626,35,536.015,544.814,545.747,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,7,1,clue,1600,1,997,2,2,671639,680438,681435,123626,36,548.013,556.812,557.809,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,8,2,wife,2800,0,0,,2,683637,692436,0,123626,37,560.011,568.81,-123.626,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,5,2,gift,2800,1,1018,1,1,696835,705634,706652,123626,38,573.209,582.008,583.026,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,6,1,food,2800,1,612,2,2,710033,718849,719461,123626,39,586.407,595.223,595.835,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,RN,8,1,ground,2800,0,803,2,1,723248,732046,732849,123626,40,599.622,608.42,609.223,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,marker,4000,1,677,2,2,736446,745244,745921,123626,41,612.82,621.618,622.295,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,8,2,signal,4000,1,704,1,1,750843,759642,760346,123626,42,627.217,636.016,636.72,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NP,5,3,curve,4000,1,894,2,2,765241,774040,774934,123626,43,641.615,650.414,651.308,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,7,2,pledge,4000,1,945,1,1,779639,788438,789383,123626,44,656.013,664.812,665.757,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,1,102008,bas_ste_run1_102008,NN,7,2,berry,4000,1,788,1,1,794037,802835,803623,123626,45,670.411,679.209,679.997,28.412,256.41,484.423,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NP,5,3,north,4000,1,1130,2,2,70727,79543,80673,39915,1,30.812,39.628,40.758,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NP,5,3,ransom,1600,1,965,2,2,85142,93940,94905,39915,2,45.227,54.025,54.99,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NN,5,2,chin,1600,1,744,1,1,97140,105938,106682,39915,3,57.225,66.023,66.767,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NN,6,1,whale,2800,1,793,1,1,109138,117936,118729,39915,4,69.223,78.021,78.814,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NN,8,2,cotton,1600,1,912,1,1,122336,131134,132046,39915,5,82.421,91.219,92.131,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NP,5,3,wheel,2800,1,915,2,2,134334,143132,144047,39915,6,94.419,103.217,104.132,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,RN,5,1,cabin,4000,0,859,2,1,147532,156330,157189,39915,7,107.617,116.415,117.274,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NN,5,2,hatch,4000,1,714,1,1,161929,170728,171442,39915,8,122.014,130.813,131.527,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NN,7,1,flame,2800,1,784,1,1,176327,185142,185926,39915,9,136.412,145.227,146.011,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NP,6,1,dollar,4000,1,837,2,2,189542,198340,199177,39915,10,149.627,158.425,159.262,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NP,8,2,exam,2800,0,880,1,2,203939,212738,213618,39915,11,164.024,172.823,173.703,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NN,8,2,lesson,2800,1,670,1,1,217137,225936,226606,39915,12,177.222,186.021,186.691,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NP,7,1,teeth,1600,1,884,2,2,230335,239134,240018,39915,13,190.42,199.219,200.103,28.429,256.427,484.424,228.031,456.028,684.025
bas,ste,2,102008,bas_ste_run2_102008,NP,8,2,kids,4000,1,732,2,2,242333,251132,251864,39915,14,202.418,211.217,211.949,28.429,256.427,484.424,228.031,456.028,684.025
