session,task,run,subj,name,word,trial.type,pc,color,iti,time.target.onset.abs,time.scan.start,trial.num,listener1,listener2,correctcolor,response.final,acc.final,rt,item,time.target.onset,time.rt.abs,time.rt,acc,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,stp,1,102008,bas_stp_run1_102008,BLACK,c,pc50,black,2400,81383,50659,1,black,black,black,black,1,896,blackBLACK,30.724,82279,926.724,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,YELLOW,i,pc50,black,3600,86182,50659,2,black,black,black,black,1,922,blackYELLOW,35.523,87104,957.523,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,BLUE,c,mc,blue,3600,92181,50659,3,blue,blue,blue,blue,1,872,blueBLUE,41.522,93053,913.522,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,RED,c,mc,red,3600,98180,50659,4,red,green,red,red,1,915.5,redRED,47.521,99095.5,963.021,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,BLACK,i,pc50,green,1200,104179,50659,5,green,green,green,green,1,785,greenBLACK,53.52,104964,838.52,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,WHITE,c,mc,white,2400,107779,50659,6,white,white,white,white,1,774,whiteWHITE,57.12,108553,831.12,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,GREEN,c,pc50,green,2400,112578,50659,7,green,green,green,green,1,713.5,greenGREEN,61.919,113291.5,775.419,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,RED,c,mc,red,1200,117377,50659,8,red,red,red,red,1,799,redRED,66.718,118176,865.718,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,YELLOW,c,pc50,yellow,3600,120976,50659,9,yellow,yellow,yellow,yellow,1,842,yellowYELLOW,70.317,121818,912.317,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,WHITE,c,mc,white,1200,126975,50659,10,white,white,white,white,1,839,whiteWHITE,76.316,127814,915.316,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,RED,c,mc,red,2400,130575,50659,11,red,red,red,red,1,959,redRED,79.916,131534,1038.916,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,BLUE,c,mc,blue,1200,135374,50659,12,blue,blue,blue,blue,1,715.5,blueBLUE,84.715,136089.5,800.215,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,PURPLE,i,mc,white,3600,138974,50659,13,white,white,white,white,1,964.5,whitePURPLE,88.315,139938.5,1052.815,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,PURPLE,c,mc,purple,1200,144973,50659,14,purple- slightly distorted,purple,purple,purple,1,1007,purplePURPLE,94.314,145980,1101.314,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,PURPLE,c,mc,purple,2400,148572,50659,15,purple,purple,purple,purple,1,668.5,purplePURPLE,97.913,149240.5,766.413,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,PINK,i,pc50,black,3600,153371,50659,16,black,black,black,black,1,987,blackPINK,102.712,154358,1089.712,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,PURPLE,i,mc,red,1200,159370,50659,17,red,red,red,red,1,1131.5,redPURPLE,108.711,160501.5,1240.211,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,BLUE,c,mc,blue,3600,162970,50659,18,blue,blue,blue,blue,1,937,blueBLUE,112.311,163907,1049.311,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,GREEN,i,pc50,yellow,2400,168969,50659,19,yellow,yellow,yellow,yellow,1,958.5,yellowGREEN,118.31,169927.5,1076.81,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,PURPLE,c,mc,purple,1200,173768,50659,20,purple,purple,purple,purple,1,912,purplePURPLE,123.109,174680,1035.109,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,YELLOW,c,pc50,yellow,1200,177384,50659,21,yellow,yellow,yellow,yellow,1,827.5,yellowYELLOW,126.725,178211.5,954.225,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,PURPLE,c,mc,purple,2400,180984,50659,22,purple,purple,purple,purple,1,962,purplePURPLE,130.325,181946,1092.325,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,BLUE,c,mc,blue,2400,185783,50659,23,blue,pink,blue,blue,1,735,blueBLUE,135.124,186518,870.124,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,RED,i,mc,white,3600,190582,50659,24,white,white,white,white,1,865,whiteRED,139.923,191447,1004.923,1,28.424,231.225,434.026,202.83,405.631,608.432
bas,stp,1,102008,bas_stp_run1_102008,WHITE,c,mc,white,2400,196581,50659,25,white,white,white,white,1,766,whiteWHITE,145.922,197347,911.922,1,28.424,231.225,434.026,202.83,405.631,608.432
