subj,parcel,term,beta
102008,LH_Vis_1,hihi,0.221570154399896
107321,LH_Vis_1,hihi,0.0348191703006428
115825,LH_Vis_1,hihi,0.139762729585359
123117,LH_Vis_1,hihi,0.0733917170836945
130114,LH_Vis_1,hihi,0.287060352452039
130518,LH_Vis_1,hihi,-0.143181871856925
132017,LH_Vis_1,hihi,0.177978307290851
141422,LH_Vis_1,hihi,0.102443813044503
150423,LH_Vis_1,hihi,0.349852094744071
158136,LH_Vis_1,hihi,0.736755398508706
161832,LH_Vis_1,hihi,0.2011764757527
165032,LH_Vis_1,hihi,0.398584087965538
173738,LH_Vis_1,hihi,0.101783868149702
176845,LH_Vis_1,hihi,0.290171745744487
178950,LH_Vis_1,hihi,0.323696091255357
182436,LH_Vis_1,hihi,0.108778061651346
203418,LH_Vis_1,hihi,0.770803661708851
204319,LH_Vis_1,hihi,0.347217309631294
233326,LH_Vis_1,hihi,0.314273500618891
300618,LH_Vis_1,hihi,-0.0164131479057832
346945,LH_Vis_1,hihi,0.265810325547118
393550,LH_Vis_1,hihi,0.282891421375913
432332,LH_Vis_1,hihi,0.299045424318561
448347,LH_Vis_1,hihi,0.631530232303788
580650,LH_Vis_1,hihi,0.443514998174573
594156,LH_Vis_1,hihi,0.0267057633850534
601127,LH_Vis_1,hihi,0.898243066668135
672756,LH_Vis_1,hihi,0.261747854841367
765864,LH_Vis_1,hihi,0.296663921604204
849971,LH_Vis_1,hihi,0.298352752581307
877168,LH_Vis_1,hihi,0.457059323003767
DMCC0472647,LH_Vis_1,hihi,0.207204866794359
DMCC1328342,LH_Vis_1,hihi,0.050411317531374
DMCC1624043,LH_Vis_1,hihi,0.235140006870024
DMCC3963378,LH_Vis_1,hihi,-0.102321690374622
DMCC4854984,LH_Vis_1,hihi,0.0996982026286576
DMCC5065053,LH_Vis_1,hihi,0.111875718114951
DMCC5195268,LH_Vis_1,hihi,0.0943040251080635
DMCC5244053,LH_Vis_1,hihi,0.148258541324215
DMCC5775387,LH_Vis_1,hihi,0.327223050448293
DMCC5820265,LH_Vis_1,hihi,0.168343527484274
DMCC6418065,LH_Vis_1,hihi,0.569262302551239
DMCC6627478,LH_Vis_1,hihi,0.53816861593722
DMCC6671683,LH_Vis_1,hihi,0.292198778876935
DMCC6705371,LH_Vis_1,hihi,0.228578428033691
DMCC7297690,LH_Vis_1,hihi,-0.0106949601899143
DMCC7921988,LH_Vis_1,hihi,0.0452650215162149
DMCC8050964,LH_Vis_1,hihi,0.490426735074541
DMCC8078683,LH_Vis_1,hihi,0.602593671758849
DMCC8214059,LH_Vis_1,hihi,0.353786554358523
DMCC8260571,LH_Vis_1,hihi,0.160172291056477
DMCC9441378,LH_Vis_1,hihi,0.57161572397458
DMCC9478705,LH_Vis_1,hihi,0.217978841675838
DMCC9850294,LH_Vis_1,hihi,0.0888178779944085
DMCC9953810,LH_Vis_1,hihi,0.394682154857196
102008,LH_Vis_2,hihi,0.418001578937623
107321,LH_Vis_2,hihi,0.297879077520509
115825,LH_Vis_2,hihi,0.0560389061448597
123117,LH_Vis_2,hihi,0.11485617326937
130114,LH_Vis_2,hihi,0.392603683191761
130518,LH_Vis_2,hihi,0.0230608538325919
132017,LH_Vis_2,hihi,-0.019616017845255
141422,LH_Vis_2,hihi,-0.0785965891720323
150423,LH_Vis_2,hihi,0.243182617796974
158136,LH_Vis_2,hihi,0.225720729410881
161832,LH_Vis_2,hihi,0.0810202512469393
165032,LH_Vis_2,hihi,0.0417443220536949
173738,LH_Vis_2,hihi,0.228045417030594
176845,LH_Vis_2,hihi,0.107870890819342
178950,LH_Vis_2,hihi,0.171614074689687
182436,LH_Vis_2,hihi,0.232133465888893
203418,LH_Vis_2,hihi,0.374676156327782
204319,LH_Vis_2,hihi,0.420937855399102
233326,LH_Vis_2,hihi,0.296848957371242
300618,LH_Vis_2,hihi,0.257381401984579
346945,LH_Vis_2,hihi,0.329924178723068
393550,LH_Vis_2,hihi,-0.00642141960381331
432332,LH_Vis_2,hihi,-0.100516933781075
448347,LH_Vis_2,hihi,-0.0673135525021852
580650,LH_Vis_2,hihi,0.172190418068224
594156,LH_Vis_2,hihi,0.355319721488404
601127,LH_Vis_2,hihi,0.450461051199365
672756,LH_Vis_2,hihi,0.334136361783774
765864,LH_Vis_2,hihi,0.552781349668083
849971,LH_Vis_2,hihi,0.0874348943360851
877168,LH_Vis_2,hihi,0.224298102029702
DMCC0472647,LH_Vis_2,hihi,0.343913301694018
DMCC1328342,LH_Vis_2,hihi,0.0811864095977093
DMCC1624043,LH_Vis_2,hihi,0.374419021536947
DMCC3963378,LH_Vis_2,hihi,0.65628557974132
DMCC4854984,LH_Vis_2,hihi,0.128043230397987
DMCC5065053,LH_Vis_2,hihi,0.0793116956113152
DMCC5195268,LH_Vis_2,hihi,0.236476528746348
DMCC5244053,LH_Vis_2,hihi,0.442621730178875
DMCC5775387,LH_Vis_2,hihi,0.410641249922037
DMCC5820265,LH_Vis_2,hihi,0.0837917956517541
DMCC6418065,LH_Vis_2,hihi,0.726870319424896
DMCC6627478,LH_Vis_2,hihi,0.924568379385126
DMCC6671683,LH_Vis_2,hihi,0.311622825146262
DMCC6705371,LH_Vis_2,hihi,0.242779952118144
DMCC7297690,LH_Vis_2,hihi,0.591804478547366
DMCC7921988,LH_Vis_2,hihi,0.460775708225337
DMCC8050964,LH_Vis_2,hihi,0.472926103724879
DMCC8078683,LH_Vis_2,hihi,0.161367890011742
DMCC8214059,LH_Vis_2,hihi,0.323467397714346
DMCC8260571,LH_Vis_2,hihi,0.355779287264196
DMCC9441378,LH_Vis_2,hihi,0.191584837594909
DMCC9478705,LH_Vis_2,hihi,0.268770637376836
DMCC9850294,LH_Vis_2,hihi,0.19719364716636
DMCC9953810,LH_Vis_2,hihi,0.272510544173134
102008,LH_Vis_3,hihi,0.355956921623876
107321,LH_Vis_3,hihi,0.124174157005862
115825,LH_Vis_3,hihi,0.343490410664128
123117,LH_Vis_3,hihi,0.132305071501802
130114,LH_Vis_3,hihi,0.123034826046264
130518,LH_Vis_3,hihi,0.0417912821618747
132017,LH_Vis_3,hihi,0.478629176072815
141422,LH_Vis_3,hihi,0.14428097515851
150423,LH_Vis_3,hihi,0.278591490921956
158136,LH_Vis_3,hihi,0.447126959386038
161832,LH_Vis_3,hihi,0.232628942520775
165032,LH_Vis_3,hihi,0.0426105465037188
173738,LH_Vis_3,hihi,0.264143214822229
176845,LH_Vis_3,hihi,-0.118396827158721
178950,LH_Vis_3,hihi,0.355809191406244
182436,LH_Vis_3,hihi,0.29804226609777
203418,LH_Vis_3,hihi,0.396054458617768
204319,LH_Vis_3,hihi,0.537310883346762
233326,LH_Vis_3,hihi,0.122541646345093
300618,LH_Vis_3,hihi,0.309534625676822
346945,LH_Vis_3,hihi,0.27966531253251
393550,LH_Vis_3,hihi,0.22259922116109
432332,LH_Vis_3,hihi,0.096286322194423
448347,LH_Vis_3,hihi,0.181682871545438
580650,LH_Vis_3,hihi,-0.100247265558718
594156,LH_Vis_3,hihi,0.0554355152014259
601127,LH_Vis_3,hihi,0.403473169082225
672756,LH_Vis_3,hihi,0.0987356436861011
765864,LH_Vis_3,hihi,0.861719889010671
849971,LH_Vis_3,hihi,0.273473294098345
877168,LH_Vis_3,hihi,0.143738391866693
DMCC0472647,LH_Vis_3,hihi,0.278850058146945
DMCC1328342,LH_Vis_3,hihi,0.168173793602929
DMCC1624043,LH_Vis_3,hihi,0.646926526757871
DMCC3963378,LH_Vis_3,hihi,0.126418424890357
DMCC4854984,LH_Vis_3,hihi,0.148319910046941
DMCC5065053,LH_Vis_3,hihi,0.365221740066979
DMCC5195268,LH_Vis_3,hihi,0.100771246518749
DMCC5244053,LH_Vis_3,hihi,0.254607728299626
DMCC5775387,LH_Vis_3,hihi,0.369647920078642
DMCC5820265,LH_Vis_3,hihi,0.531578191473235
DMCC6418065,LH_Vis_3,hihi,0.527958518879242
DMCC6627478,LH_Vis_3,hihi,-0.0623172667395769
DMCC6671683,LH_Vis_3,hihi,0.225985720734271
DMCC6705371,LH_Vis_3,hihi,0.309152655022944
DMCC7297690,LH_Vis_3,hihi,-0.145436112074082
DMCC7921988,LH_Vis_3,hihi,-0.0377732248540651
DMCC8050964,LH_Vis_3,hihi,0.467716837470002
DMCC8078683,LH_Vis_3,hihi,0.515256059341723
DMCC8214059,LH_Vis_3,hihi,0.648071987671563
DMCC8260571,LH_Vis_3,hihi,0.235517955467135
DMCC9441378,LH_Vis_3,hihi,0.239768739861382
DMCC9478705,LH_Vis_3,hihi,-0.0520325919841982
DMCC9850294,LH_Vis_3,hihi,0.27191325080861
DMCC9953810,LH_Vis_3,hihi,0.134075220231581
102008,LH_Vis_4,hihi,-0.0839504260301856
107321,LH_Vis_4,hihi,0.22163539092521
115825,LH_Vis_4,hihi,0.118840798429737
123117,LH_Vis_4,hihi,0.111799123441837
130114,LH_Vis_4,hihi,0.136128569488103
130518,LH_Vis_4,hihi,0.139676078699415
132017,LH_Vis_4,hihi,-0.0206819485860774
141422,LH_Vis_4,hihi,0.288467501625441
150423,LH_Vis_4,hihi,0.377359062749679
158136,LH_Vis_4,hihi,0.208562168193058
161832,LH_Vis_4,hihi,0.0738770779199867
165032,LH_Vis_4,hihi,0.0846264240461093
173738,LH_Vis_4,hihi,0.104415363716287
176845,LH_Vis_4,hihi,0.146518281144321
178950,LH_Vis_4,hihi,-0.00615970356339419
182436,LH_Vis_4,hihi,0.0889841621205175
203418,LH_Vis_4,hihi,0.354209759333442
204319,LH_Vis_4,hihi,0.0357020735124774
233326,LH_Vis_4,hihi,0.139001275917034
