subj,parcel,term,beta
102008,LH_Vis_1,hihi,0.147043838348175
107321,LH_Vis_1,hihi,0.0278071902305861
115825,LH_Vis_1,hihi,-0.0255559439428761
123117,LH_Vis_1,hihi,-0.0358690237282657
130114,LH_Vis_1,hihi,0.00439976378502253
130518,LH_Vis_1,hihi,-0.239978782212813
132017,LH_Vis_1,hihi,-0.0125373206983698
141422,LH_Vis_1,hihi,0.165394220763803
150423,LH_Vis_1,hihi,0.116267216694102
158136,LH_Vis_1,hihi,0.271709446418166
161832,LH_Vis_1,hihi,0.0368403387419731
165032,LH_Vis_1,hihi,0.0743962291775339
173738,LH_Vis_1,hihi,-0.00978239917683391
176845,LH_Vis_1,hihi,0.114280845055257
178950,LH_Vis_1,hihi,-0.0062129139491856
182436,LH_Vis_1,hihi,0.000376433750463489
203418,LH_Vis_1,hihi,0.183900265849857
204319,LH_Vis_1,hihi,0.111689567116032
233326,LH_Vis_1,hihi,0.0237336233369584
300618,LH_Vis_1,hihi,-0.0439824754369727
346945,LH_Vis_1,hihi,0.105942574233799
393550,LH_Vis_1,hihi,0.105069527359733
432332,LH_Vis_1,hihi,0.0327519849687312
448347,LH_Vis_1,hihi,-0.00486543227745613
580650,LH_Vis_1,hihi,-0.00192017816000185
594156,LH_Vis_1,hihi,-0.0356600601330992
601127,LH_Vis_1,hihi,0.127601866780319
672756,LH_Vis_1,hihi,0.00106064638876672
765864,LH_Vis_1,hihi,-0.0170425601809957
849971,LH_Vis_1,hihi,0.0613403154199854
877168,LH_Vis_1,hihi,0.0559937417701077
DMCC0472647,LH_Vis_1,hihi,0.0569157323413185
DMCC1328342,LH_Vis_1,hihi,-0.0150949477629177
DMCC1624043,LH_Vis_1,hihi,0.0877569054918266
DMCC3963378,LH_Vis_1,hihi,-0.00786901817019454
DMCC4854984,LH_Vis_1,hihi,0.0832850176780124
DMCC5065053,LH_Vis_1,hihi,0.0232103134333177
DMCC5195268,LH_Vis_1,hihi,0.172084186095551
DMCC5244053,LH_Vis_1,hihi,-0.00950030442993713
DMCC5775387,LH_Vis_1,hihi,0.122093527604713
DMCC5820265,LH_Vis_1,hihi,0.0536607231333565
DMCC6418065,LH_Vis_1,hihi,0.0450439265328947
DMCC6627478,LH_Vis_1,hihi,0.0833069532860107
DMCC6671683,LH_Vis_1,hihi,0.304376521890572
DMCC6705371,LH_Vis_1,hihi,0.0275464669061824
DMCC7297690,LH_Vis_1,hihi,0.068063015062267
DMCC7921988,LH_Vis_1,hihi,0.0294114880241389
DMCC8050964,LH_Vis_1,hihi,0.11080970309094
DMCC8078683,LH_Vis_1,hihi,0.256081419947498
DMCC8214059,LH_Vis_1,hihi,0.182707152653064
DMCC8260571,LH_Vis_1,hihi,0.0538607230600228
DMCC9441378,LH_Vis_1,hihi,0.290023548785283
DMCC9478705,LH_Vis_1,hihi,0.0112660484334894
DMCC9850294,LH_Vis_1,hihi,-0.0360360840330056
DMCC9953810,LH_Vis_1,hihi,0.0272026321820765
102008,LH_Vis_2,hihi,0.0266665955691831
107321,LH_Vis_2,hihi,-0.00427229518454002
115825,LH_Vis_2,hihi,0.0849879814779798
123117,LH_Vis_2,hihi,0.0145729864144331
130114,LH_Vis_2,hihi,0.0471044348598905
130518,LH_Vis_2,hihi,0.0219156607314744
132017,LH_Vis_2,hihi,-0.00966771061726829
141422,LH_Vis_2,hihi,0.0320687841704698
150423,LH_Vis_2,hihi,0.0829381556173385
158136,LH_Vis_2,hihi,-0.00893181441576878
161832,LH_Vis_2,hihi,-0.00777410433874477
165032,LH_Vis_2,hihi,0.0219980846838001
173738,LH_Vis_2,hihi,0.0836641548047885
176845,LH_Vis_2,hihi,0.00695200412164717
178950,LH_Vis_2,hihi,0.119480629507475
182436,LH_Vis_2,hihi,0.00557671170296672
203418,LH_Vis_2,hihi,-0.00796166928952849
204319,LH_Vis_2,hihi,0.0226551993633446
233326,LH_Vis_2,hihi,0.125296556143172
300618,LH_Vis_2,hihi,0.0253505878202609
346945,LH_Vis_2,hihi,-0.00312149948894624
393550,LH_Vis_2,hihi,-0.0168923870968712
432332,LH_Vis_2,hihi,0.0307125458952361
448347,LH_Vis_2,hihi,0.024800041579113
580650,LH_Vis_2,hihi,-0.00751500105430914
594156,LH_Vis_2,hihi,0.161671960544347
601127,LH_Vis_2,hihi,0.0119019456184205
672756,LH_Vis_2,hihi,0.00770487759286979
