task,transform,parcel,lb,ub,variable,estimate,p
Axcpt,unscaled,LH_Vis_1,-0.0216813258306302,0.0233444771719463,univariate,0.00521083109254535,0.6934
Axcpt,unscaled,LH_Vis_1,-0.019587950204462,0.0460068697239642,multivariate,0.0115891695288421,0.7531
Axcpt,unscaled,LH_Vis_1,-0.00648659324931783,0.0260471497930362,contrast,0.00637833843629671,0.4462
Axcpt,unscaled,LH_Vis_2,-0.0022213902854576,0.0193934654622061,univariate,0.00664313166185766,0.8934
Axcpt,unscaled,LH_Vis_2,-0.00294984107162904,0.0304885221756135,multivariate,0.0101290186423676,0.8895
Axcpt,unscaled,LH_Vis_2,-0.0050305574276453,0.0162389074304687,contrast,0.0034858869805099,0.5344
Axcpt,unscaled,LH_Vis_3,-0.0182280424772139,0.0229217692518023,univariate,0.00175532487961967,0.5612
Axcpt,unscaled,LH_Vis_3,-0.0590456314304036,0.0218774985775303,multivariate,-0.0102926523128335,0.3196
Axcpt,unscaled,LH_Vis_3,-0.0530835406820299,0.00838765160572317,contrast,-0.0120479771924532,0.4192
Axcpt,unscaled,LH_Vis_4,-0.0195297861097453,0.0157014857764819,univariate,-0.000486731495063827,0.4786
Axcpt,unscaled,LH_Vis_4,-0.0198501263430656,0.0170688157541868,multivariate,-0.000315625135019121,0.4939
Axcpt,unscaled,LH_Vis_4,-0.00568655244960463,0.00530864664867636,contrast,0.000171106360044707,0.9514
Axcpt,unscaled,LH_Vis_5,-0.0113634427293736,0.0455213959460893,univariate,0.0176624676982232,0.89
Axcpt,unscaled,LH_Vis_5,-0.00445324905944589,0.0538190431381043,multivariate,0.023849608887143,0.9458
Axcpt,unscaled,LH_Vis_5,-0.000343177414531382,0.0155968239877226,contrast,0.00618714118891972,0.104
Axcpt,unscaled,LH_Vis_6,-0.0108682242803989,0.0543169883990801,univariate,0.023206288086897,0.9069
Axcpt,unscaled,LH_Vis_6,-0.0412156208943302,0.123516112190853,multivariate,0.0299370790188892,0.7669
Axcpt,unscaled,LH_Vis_6,-0.0454173900505744,0.0785567291371139,contrast,0.00673079093199219,0.8456
Axcpt,unscaled,LH_Vis_7,-0.00688010021979918,0.0322389276866938,univariate,0.0151005083083845,0.9325
Axcpt,unscaled,LH_Vis_7,-0.00454897231203,0.0414912199435125,multivariate,0.0189551885507318,0.9418
Axcpt,unscaled,LH_Vis_7,-0.0143967284830141,0.0210253513555161,contrast,0.00385468024234735,0.666
Axcpt,unscaled,LH_Vis_8,-0.00346445522858736,0.0375156265363942,univariate,0.017032706796213,0.9435
Axcpt,unscaled,LH_Vis_8,-0.00886535118081316,0.0425023844896544,multivariate,0.0175278822047226,0.903
Axcpt,unscaled,LH_Vis_8,-0.0108108240788624,0.0118980981308674,contrast,0.000495175408509574,0.9326
Axcpt,unscaled,LH_Vis_9,-0.016208377463194,0.031127740023919,univariate,0.00635494782894552,0.6896
Axcpt,unscaled,LH_Vis_9,-0.00847140393124893,0.0627309419223577,multivariate,0.0235969412793978,0.9017
Axcpt,unscaled,LH_Vis_9,0.000250964335784986,0.0479934528007242,contrast,0.0172419934504522,0.1082
Axcpt,unscaled,LH_Vis_10,-0.00692487421126933,0.0636394974911993,univariate,0.0251250702555872,0.9161
Axcpt,unscaled,LH_Vis_10,-0.0148259383062653,0.0758393916777431,multivariate,0.0272510079871209,0.8826
Axcpt,unscaled,LH_Vis_10,-0.0121972023129042,0.0148254009843565,contrast,0.00212593773153369,0.735
Axcpt,unscaled,LH_Vis_11,-0.0101942056845526,0.0571238109417259,univariate,0.0225411248016644,0.9036
Axcpt,unscaled,LH_Vis_11,-0.00882711784891608,0.0771781851440954,multivariate,0.0319488467602709,0.9276
Axcpt,unscaled,LH_Vis_11,-0.00466734139986394,0.0384896628121879,contrast,0.00940772195860652,0.3476
Axcpt,unscaled,LH_Vis_12,-0.0722190330610176,0.0367818936327858,univariate,-0.0142385198001246,0.3014
Axcpt,unscaled,LH_Vis_12,-0.0981822860567915,0.0461284578325766,multivariate,-0.0138680441640604,0.3701
Axcpt,unscaled,LH_Vis_12,-0.0527708405729528,0.0302673713942069,contrast,0.000370475636064155,0.9296
Axcpt,unscaled,LH_Vis_13,-0.0475527257165269,0.0489576273313469,univariate,0.00658108488597212,0.6166
Axcpt,unscaled,LH_Vis_13,-0.052774638145191,0.0525767325560904,multivariate,0.0046968866389781,0.5765
Axcpt,unscaled,LH_Vis_13,-0.0176244774929342,0.0125691626327163,contrast,-0.00188419824699401,0.8108
Axcpt,unscaled,LH_Vis_14,-0.0154892251250468,0.0214456603393407,univariate,0.00290518397206736,0.6155
Axcpt,unscaled,LH_Vis_14,-0.0196322639966927,0.0207868197526257,multivariate,0.000579413993219258,0.523
Axcpt,unscaled,LH_Vis_14,-0.0108623121020252,0.00710234856687191,contrast,-0.00232576997884811,0.6182
Axcpt,unscaled,LH_Vis_15,-0.0466033601016504,0.0637997252059116,univariate,-0.000850734649813584,0.4761
Axcpt,unscaled,LH_Vis_15,-0.0551064090040209,0.0817793054844885,multivariate,0.00435246442978132,0.5395
Axcpt,unscaled,LH_Vis_15,-0.0145019824365407,0.0285141237507785,contrast,0.00520319907959491,0.637
Axcpt,unscaled,LH_Vis_16,-0.0382178759968361,0.0553601945630407,univariate,0.00937366110977097,0.6558
Axcpt,unscaled,LH_Vis_16,-0.058708705719885,0.0642777240408867,multivariate,0.00702064217139753,0.5983
Axcpt,unscaled,LH_Vis_16,-0.0268510395498898,0.0165513818543437,contrast,-0.00235301893837345,0.861
Axcpt,unscaled,LH_Vis_17,-0.00892924510173953,0.0455854253438691,univariate,0.0136840459604378,0.8357
Axcpt,unscaled,LH_Vis_17,-0.0102785660385654,0.0489400077012059,multivariate,0.0156919041202918,0.8513
Axcpt,unscaled,LH_Vis_17,-0.00365913243308167,0.00808613127329177,contrast,0.00200785815985402,0.4934
Axcpt,unscaled,LH_Vis_18,-0.00336013952020342,0.0724268349434348,univariate,0.0248295356472906,0.9161
Axcpt,unscaled,LH_Vis_18,-0.0100791825281469,0.0869722465356428,multivariate,0.0237380987948732,0.8504
