subj.session,var.level,name.var,dir.analysis,name.onset,by.run,fname.suffix,session,task,subj,n.events,fname
102008.baseline,blackBLACK,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,9,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_blackBLACK
102008.baseline,blueBLUE,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,27,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_blueBLUE
102008.baseline,redRED,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,27,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_redRED
102008.baseline,whiteWHITE,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,27,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_whiteWHITE
102008.baseline,greenGREEN,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,9,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_greenGREEN
102008.baseline,yellowYELLOW,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,9,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_yellowYELLOW
102008.baseline,purplePURPLE,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,27,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_purplePURPLE
102008.baseline,pinkPINK,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,9,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_pinkPINK
102008.baseline,blackYELLOW,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,3,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_blackYELLOW
102008.baseline,greenBLACK,item,/data/nil-external/ccp/freund/ub55/out/glms,time.target.onset,TRUE,"",baseline,Stroop,102008,3,/data/nil-external/ccp/freund/ub55/out/glms/102008/INPUT_DATA/Stroop/baseline/102008_Stroop_baseline_greenBLACK
