.row,.col,w_task,w_hi,w_lo,w_b0,b_task,b_hi,b_lo,b_b0
Cuedts_hi_run1,Axcpt_hi_run1,0,1,0,0,0,0,0,0
Stern_hi_run1,Axcpt_hi_run1,0,1,0,0,0,0,0,0
Stroop_hi_run1,Axcpt_hi_run1,0,1,0,0,0,0,0,0
Axcpt_lo_run1,Axcpt_hi_run1,1,0,0,0,0,0,0,0
Cuedts_lo_run1,Axcpt_hi_run1,0,0,0,1,0,0,0,0
Stern_lo_run1,Axcpt_hi_run1,0,0,0,1,0,0,0,0
Stroop_lo_run1,Axcpt_hi_run1,0,0,0,1,0,0,0,0
Axcpt_hi_run2,Axcpt_hi_run1,0,0,0,0,1,1,0,0
Cuedts_hi_run2,Axcpt_hi_run1,0,0,0,0,0,1,0,0
Stern_hi_run2,Axcpt_hi_run1,0,0,0,0,0,1,0,0
Stroop_hi_run2,Axcpt_hi_run1,0,0,0,0,0,1,0,0
Axcpt_lo_run2,Axcpt_hi_run1,0,0,0,0,1,0,0,0
Cuedts_lo_run2,Axcpt_hi_run1,0,0,0,0,0,0,0,1
Stern_lo_run2,Axcpt_hi_run1,0,0,0,0,0,0,0,1
Stroop_lo_run2,Axcpt_hi_run1,0,0,0,0,0,0,0,1
Stern_hi_run1,Cuedts_hi_run1,0,1,0,0,0,0,0,0
Stroop_hi_run1,Cuedts_hi_run1,0,1,0,0,0,0,0,0
Axcpt_lo_run1,Cuedts_hi_run1,0,0,0,1,0,0,0,0
Cuedts_lo_run1,Cuedts_hi_run1,1,0,0,0,0,0,0,0
Stern_lo_run1,Cuedts_hi_run1,0,0,0,1,0,0,0,0
Stroop_lo_run1,Cuedts_hi_run1,0,0,0,1,0,0,0,0
Axcpt_hi_run2,Cuedts_hi_run1,0,0,0,0,0,1,0,0
Cuedts_hi_run2,Cuedts_hi_run1,0,0,0,0,1,1,0,0
Stern_hi_run2,Cuedts_hi_run1,0,0,0,0,0,1,0,0
Stroop_hi_run2,Cuedts_hi_run1,0,0,0,0,0,1,0,0
Axcpt_lo_run2,Cuedts_hi_run1,0,0,0,0,0,0,0,1
Cuedts_lo_run2,Cuedts_hi_run1,0,0,0,0,1,0,0,0
Stern_lo_run2,Cuedts_hi_run1,0,0,0,0,0,0,0,1
Stroop_lo_run2,Cuedts_hi_run1,0,0,0,0,0,0,0,1
Stroop_hi_run1,Stern_hi_run1,0,1,0,0,0,0,0,0
Axcpt_lo_run1,Stern_hi_run1,0,0,0,1,0,0,0,0
