subj,parcel,term,beta
102008,LH_Vis_1,hihi,0.0530945971458881
107321,LH_Vis_1,hihi,0.0175686504546799
115825,LH_Vis_1,hihi,0.0792831132672895
123117,LH_Vis_1,hihi,-0.000245796428024941
130114,LH_Vis_1,hihi,0.166409847370228
130518,LH_Vis_1,hihi,-0.0778780907297769
132017,LH_Vis_1,hihi,0.145397950867236
141422,LH_Vis_1,hihi,0.0645002746135615
150423,LH_Vis_1,hihi,0.183643230754478
158136,LH_Vis_1,hihi,0.38605712101181
161832,LH_Vis_1,hihi,-0.0495250337448691
165032,LH_Vis_1,hihi,0.0572138179013797
173738,LH_Vis_1,hihi,0.177050312691167
176845,LH_Vis_1,hihi,0.522357032151301
178950,LH_Vis_1,hihi,0.104576130770073
182436,LH_Vis_1,hihi,0.0911729913605317
203418,LH_Vis_1,hihi,0.479385926212954
204319,LH_Vis_1,hihi,0.204928461094113
233326,LH_Vis_1,hihi,0.0824206739181673
300618,LH_Vis_1,hihi,0.0865513995661225
346945,LH_Vis_1,hihi,0.429083230638068
393550,LH_Vis_1,hihi,0.401017915965048
448347,LH_Vis_1,hihi,0.335326973309708
580650,LH_Vis_1,hihi,0.0349801889487106
594156,LH_Vis_1,hihi,0.0104724344843992
601127,LH_Vis_1,hihi,0.440254743759495
672756,LH_Vis_1,hihi,0.404310067122853
765864,LH_Vis_1,hihi,0.0289859683355998
849971,LH_Vis_1,hihi,0.113356865403933
877168,LH_Vis_1,hihi,0.271030509779961
DMCC0472647,LH_Vis_1,hihi,0.060641004593752
DMCC1328342,LH_Vis_1,hihi,-0.0469737051950782
DMCC1624043,LH_Vis_1,hihi,0.0831281420849375
DMCC3963378,LH_Vis_1,hihi,-0.0380076089428476
DMCC4854984,LH_Vis_1,hihi,0.124980015896268
DMCC5065053,LH_Vis_1,hihi,0.337155761382725
DMCC5195268,LH_Vis_1,hihi,0.0363503968702578
DMCC5244053,LH_Vis_1,hihi,0.0780902374889991
DMCC5775387,LH_Vis_1,hihi,0.319031591087729
DMCC5820265,LH_Vis_1,hihi,0.249424725289683
DMCC6418065,LH_Vis_1,hihi,0.465791344326512
DMCC6627478,LH_Vis_1,hihi,0.160633001217409
DMCC6671683,LH_Vis_1,hihi,0.145755570878319
DMCC6705371,LH_Vis_1,hihi,0.0571475241377202
DMCC7297690,LH_Vis_1,hihi,-0.0649868958530876
DMCC7921988,LH_Vis_1,hihi,0.0456299274073436
DMCC8050964,LH_Vis_1,hihi,0.240031843544599
DMCC8078683,LH_Vis_1,hihi,0.388346646558632
DMCC8214059,LH_Vis_1,hihi,0.134511160430139
DMCC8260571,LH_Vis_1,hihi,0.240576886808321
DMCC9441378,LH_Vis_1,hihi,0.324710756535754
DMCC9478705,LH_Vis_1,hihi,0.149362634997267
DMCC9850294,LH_Vis_1,hihi,-0.0208817092442946
DMCC9953810,LH_Vis_1,hihi,-0.00264676207748682
102008,LH_Vis_2,hihi,0.319115403396319
107321,LH_Vis_2,hihi,0.0456449682686623
115825,LH_Vis_2,hihi,0.0348041569137445
123117,LH_Vis_2,hihi,0.0519189147081632
130114,LH_Vis_2,hihi,0.048319146738952
130518,LH_Vis_2,hihi,-0.0998325617574126
132017,LH_Vis_2,hihi,-0.0797087301139173
141422,LH_Vis_2,hihi,0.21472695823966
150423,LH_Vis_2,hihi,0.0942583836352524
158136,LH_Vis_2,hihi,0.150297068189012
161832,LH_Vis_2,hihi,0.0723300530635049
165032,LH_Vis_2,hihi,0.0485019234210529
173738,LH_Vis_2,hihi,-0.0575221279430524
176845,LH_Vis_2,hihi,-0.00779319658906215
178950,LH_Vis_2,hihi,-0.0552492158441555
182436,LH_Vis_2,hihi,0.133041103781063
203418,LH_Vis_2,hihi,0.161596967237362
204319,LH_Vis_2,hihi,-0.0867349728718789
233326,LH_Vis_2,hihi,-0.00455929362585209
300618,LH_Vis_2,hihi,0.125498206631952
346945,LH_Vis_2,hihi,0.164183414745577
393550,LH_Vis_2,hihi,0.0792287834062466
448347,LH_Vis_2,hihi,0.0242999703472546
580650,LH_Vis_2,hihi,0.0692543353495076
594156,LH_Vis_2,hihi,0.205841096838592
601127,LH_Vis_2,hihi,0.123795035216851
672756,LH_Vis_2,hihi,0.0884765557236096
765864,LH_Vis_2,hihi,0.0021955492657657
849971,LH_Vis_2,hihi,0.103691398834898
877168,LH_Vis_2,hihi,0.181551268320248
DMCC0472647,LH_Vis_2,hihi,0.298971661508892
DMCC1328342,LH_Vis_2,hihi,0.0387435540023413
DMCC1624043,LH_Vis_2,hihi,0.0781277990488127
DMCC3963378,LH_Vis_2,hihi,0.422104147475636
DMCC4854984,LH_Vis_2,hihi,0.284844892180482
DMCC5065053,LH_Vis_2,hihi,0.0257881965496421
DMCC5195268,LH_Vis_2,hihi,0.0441320106245477
DMCC5244053,LH_Vis_2,hihi,0.0388607430664887
DMCC5775387,LH_Vis_2,hihi,0.0704473910756751
DMCC5820265,LH_Vis_2,hihi,-0.0612595974443327
DMCC6418065,LH_Vis_2,hihi,0.427467180833758
DMCC6627478,LH_Vis_2,hihi,0.657708720342625
DMCC6671683,LH_Vis_2,hihi,0.118451105054489
DMCC6705371,LH_Vis_2,hihi,0.0462149608528226
DMCC7297690,LH_Vis_2,hihi,0.200924630641764
DMCC7921988,LH_Vis_2,hihi,0.203956104344441
DMCC8050964,LH_Vis_2,hihi,0.276449656583012
DMCC8078683,LH_Vis_2,hihi,0.0598541776953496
DMCC8214059,LH_Vis_2,hihi,-0.0971266584926934
DMCC8260571,LH_Vis_2,hihi,0.100448634375351
DMCC9441378,LH_Vis_2,hihi,0.107596181616305
DMCC9478705,LH_Vis_2,hihi,-0.074882838471629
DMCC9850294,LH_Vis_2,hihi,0.246270404002284
DMCC9953810,LH_Vis_2,hihi,0.140260767623759
102008,LH_Vis_3,hihi,0.1690713926859
107321,LH_Vis_3,hihi,0.132225849293575
115825,LH_Vis_3,hihi,-0.0445972257401266
123117,LH_Vis_3,hihi,-0.105012361021463
130114,LH_Vis_3,hihi,0.151535162191541
130518,LH_Vis_3,hihi,0.0969623751932386
132017,LH_Vis_3,hihi,0.170153639003129
141422,LH_Vis_3,hihi,0.0431011792990324
150423,LH_Vis_3,hihi,0.668712659404733
158136,LH_Vis_3,hihi,0.195914073788781
161832,LH_Vis_3,hihi,0.313292813033681
165032,LH_Vis_3,hihi,0.0511259827372738
173738,LH_Vis_3,hihi,0.0573397694553981
176845,LH_Vis_3,hihi,0.323582838026366
178950,LH_Vis_3,hihi,0.172713099502421
182436,LH_Vis_3,hihi,-0.0717829217787047
203418,LH_Vis_3,hihi,0.268747392647172
204319,LH_Vis_3,hihi,0.607148374951767
233326,LH_Vis_3,hihi,0.137702072852628
300618,LH_Vis_3,hihi,0.452869727023469
346945,LH_Vis_3,hihi,0.274603774403059
393550,LH_Vis_3,hihi,0.309982969797373
448347,LH_Vis_3,hihi,0.289126540136819
580650,LH_Vis_3,hihi,0.0199728854860533
594156,LH_Vis_3,hihi,-0.0641200848228805
601127,LH_Vis_3,hihi,0.15506751841486
672756,LH_Vis_3,hihi,0.126758319389842
765864,LH_Vis_3,hihi,0.376482106231721
849971,LH_Vis_3,hihi,0.0401990516141523
