subj,parcel,term,beta
102008,LH_Vis_1,hihi,0.0308300209819735
107321,LH_Vis_1,hihi,0.0115618696176999
115825,LH_Vis_1,hihi,-0.0358207990726809
123117,LH_Vis_1,hihi,0.0111397324379551
130114,LH_Vis_1,hihi,0.0112623026734674
130518,LH_Vis_1,hihi,-0.168956819139144
132017,LH_Vis_1,hihi,-0.0136309500078858
141422,LH_Vis_1,hihi,0.0202428380944829
150423,LH_Vis_1,hihi,-0.0140370260237615
158136,LH_Vis_1,hihi,0.0729397979636453
161832,LH_Vis_1,hihi,0.024025589103518
165032,LH_Vis_1,hihi,-0.0026573519900499
173738,LH_Vis_1,hihi,-0.0494773367211963
176845,LH_Vis_1,hihi,0.0129981372591466
178950,LH_Vis_1,hihi,-0.00674836511784281
182436,LH_Vis_1,hihi,-0.016995139606447
203418,LH_Vis_1,hihi,0.0999480339985642
204319,LH_Vis_1,hihi,-0.0018707814612485
233326,LH_Vis_1,hihi,-0.0162267609111375
300618,LH_Vis_1,hihi,0.0396133717022932
346945,LH_Vis_1,hihi,0.0451795946005322
393550,LH_Vis_1,hihi,-0.0325180919434478
448347,LH_Vis_1,hihi,-0.00532038835362796
580650,LH_Vis_1,hihi,-0.0475874251772684
594156,LH_Vis_1,hihi,-0.0089105033153133
601127,LH_Vis_1,hihi,0.0626678993916015
672756,LH_Vis_1,hihi,0.010311429065304
765864,LH_Vis_1,hihi,-0.0434300872980572
849971,LH_Vis_1,hihi,0.0327844230337187
877168,LH_Vis_1,hihi,0.00555653596602068
DMCC0472647,LH_Vis_1,hihi,0.0468186279154459
DMCC1328342,LH_Vis_1,hihi,-0.00865088014273344
DMCC1624043,LH_Vis_1,hihi,0.0100840202531614
DMCC3963378,LH_Vis_1,hihi,-0.0116567990869224
DMCC4854984,LH_Vis_1,hihi,0.0541523374445141
DMCC5065053,LH_Vis_1,hihi,0.000662977521345425
DMCC5195268,LH_Vis_1,hihi,0.0364497146232871
DMCC5244053,LH_Vis_1,hihi,-0.00652271717894325
DMCC5775387,LH_Vis_1,hihi,0.0197309566677113
DMCC5820265,LH_Vis_1,hihi,-0.00497416492958963
DMCC6418065,LH_Vis_1,hihi,0.156753239107982
DMCC6627478,LH_Vis_1,hihi,0.0212881597182876
DMCC6671683,LH_Vis_1,hihi,0.0600878606326612
DMCC6705371,LH_Vis_1,hihi,0.00891440320028089
DMCC7297690,LH_Vis_1,hihi,0.00863197653063993
DMCC7921988,LH_Vis_1,hihi,0.0180668321183997
DMCC8050964,LH_Vis_1,hihi,0.0148509930769075
DMCC8078683,LH_Vis_1,hihi,0.18712822369715
DMCC8214059,LH_Vis_1,hihi,0.0179368255595865
DMCC8260571,LH_Vis_1,hihi,-0.00822336945227593
DMCC9441378,LH_Vis_1,hihi,0.100100369544095
DMCC9478705,LH_Vis_1,hihi,0.0547894660989566
DMCC9850294,LH_Vis_1,hihi,-0.0122819550855455
DMCC9953810,LH_Vis_1,hihi,-0.0152797249204253
102008,LH_Vis_2,hihi,0.0126584383840925
107321,LH_Vis_2,hihi,-0.00207814906460787
115825,LH_Vis_2,hihi,0.0102757047453456
