subj,parcel,term,beta
102008,LH_Vis_1,hihi,66.8448179323038
107321,LH_Vis_1,hihi,52.1205908428996
115825,LH_Vis_1,hihi,92.1249339130088
123117,LH_Vis_1,hihi,50.5498514259502
130114,LH_Vis_1,hihi,137.728157838547
130518,LH_Vis_1,hihi,5192.58252965543
132017,LH_Vis_1,hihi,82.0421958533777
141422,LH_Vis_1,hihi,78.0951217416965
150423,LH_Vis_1,hihi,36.2368848829378
158136,LH_Vis_1,hihi,71.3485216601145
161832,LH_Vis_1,hihi,66.5616741783257
165032,LH_Vis_1,hihi,50.1259464454686
173738,LH_Vis_1,hihi,213.39899034268
176845,LH_Vis_1,hihi,89.7986905117453
178950,LH_Vis_1,hihi,6.01819522241042
182436,LH_Vis_1,hihi,46.9303560306783
203418,LH_Vis_1,hihi,106.171326207354
204319,LH_Vis_1,hihi,69.2300141690739
233326,LH_Vis_1,hihi,30.8780266718978
300618,LH_Vis_1,hihi,1773.36739732596
346945,LH_Vis_1,hihi,64.5742412988965
393550,LH_Vis_1,hihi,67.1414437867756
448347,LH_Vis_1,hihi,91.5948986146888
580650,LH_Vis_1,hihi,750.095242568836
594156,LH_Vis_1,hihi,37.3654379844984
601127,LH_Vis_1,hihi,63.7366604012506
672756,LH_Vis_1,hihi,22.6244740194011
765864,LH_Vis_1,hihi,90.4052162067191
849971,LH_Vis_1,hihi,11.1455625961604
877168,LH_Vis_1,hihi,71.415238466882
DMCC0472647,LH_Vis_1,hihi,71.4756840984058
DMCC1328342,LH_Vis_1,hihi,53.7340740357814
DMCC1624043,LH_Vis_1,hihi,25.0277530202791
DMCC3963378,LH_Vis_1,hihi,55.333712091739
DMCC4854984,LH_Vis_1,hihi,30.4516619966174
DMCC5065053,LH_Vis_1,hihi,39.7890227418015
DMCC5195268,LH_Vis_1,hihi,199.055855321659
DMCC5244053,LH_Vis_1,hihi,25.8596016341663
DMCC5775387,LH_Vis_1,hihi,49.1632650086147
DMCC5820265,LH_Vis_1,hihi,54.424156842638
DMCC6418065,LH_Vis_1,hihi,102.795511706148
DMCC6627478,LH_Vis_1,hihi,14.0061316943089
DMCC6671683,LH_Vis_1,hihi,45.9728944310435
DMCC6705371,LH_Vis_1,hihi,152.015086502614
DMCC7297690,LH_Vis_1,hihi,365.546060170862
DMCC7921988,LH_Vis_1,hihi,103.289696211053
DMCC8050964,LH_Vis_1,hihi,26.0357933237855
DMCC8078683,LH_Vis_1,hihi,116.491885955817
DMCC8214059,LH_Vis_1,hihi,35.8862696128842
DMCC8260571,LH_Vis_1,hihi,37.8088351189441
DMCC9441378,LH_Vis_1,hihi,129.19793075656
DMCC9478705,LH_Vis_1,hihi,40.6307274611603
DMCC9850294,LH_Vis_1,hihi,136.761439511949
DMCC9953810,LH_Vis_1,hihi,35.4936861565417
102008,LH_Vis_2,hihi,88.7839297645429
107321,LH_Vis_2,hihi,178.184958375885
115825,LH_Vis_2,hihi,151.94604124866
123117,LH_Vis_2,hihi,246.101623736503
130114,LH_Vis_2,hihi,107.687819869296
130518,LH_Vis_2,hihi,1197.98214232675
132017,LH_Vis_2,hihi,104.565597553405
141422,LH_Vis_2,hihi,41.6451312211125
150423,LH_Vis_2,hihi,229.902199140282
158136,LH_Vis_2,hihi,80.4272334538169
161832,LH_Vis_2,hihi,82.4877752201551
165032,LH_Vis_2,hihi,233.378117334315
173738,LH_Vis_2,hihi,166.104203537072
176845,LH_Vis_2,hihi,241.193751490569
178950,LH_Vis_2,hihi,206.750573752645
182436,LH_Vis_2,hihi,243.203901582982
203418,LH_Vis_2,hihi,48.0041309030484
204319,LH_Vis_2,hihi,258.844203486726
233326,LH_Vis_2,hihi,168.162324620299
300618,LH_Vis_2,hihi,144.158059157207
346945,LH_Vis_2,hihi,398.549246420314
393550,LH_Vis_2,hihi,93.6278279690315
448347,LH_Vis_2,hihi,303.133441534706
580650,LH_Vis_2,hihi,485.966419703096
594156,LH_Vis_2,hihi,1273.12958620289
601127,LH_Vis_2,hihi,93.2110877268373
672756,LH_Vis_2,hihi,58.0750310201689
765864,LH_Vis_2,hihi,161.783987271372
849971,LH_Vis_2,hihi,95.6082541626907
877168,LH_Vis_2,hihi,202.446558196302
DMCC0472647,LH_Vis_2,hihi,74.6565956793176
DMCC1328342,LH_Vis_2,hihi,1590.91832506763
DMCC1624043,LH_Vis_2,hihi,47.2515387977164
DMCC3963378,LH_Vis_2,hihi,316.777930792596
DMCC4854984,LH_Vis_2,hihi,18.1916544613138
DMCC5065053,LH_Vis_2,hihi,31.0256372484167
DMCC5195268,LH_Vis_2,hihi,62.2241087532182
DMCC5244053,LH_Vis_2,hihi,123.005944883912
