parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_Vis_1,-0.0224390555555554,0.0209460405489512,809.000002019085,-1.0712791041875,0.284363436374099,hiloBX,0.37560145079092,L,1
LH_Vis_2,-0.0627122569444445,0.0160675735002436,809.000000122568,-3.90303221226862,0.0001029020897085,hiloBX,0.000407533028548516,L,2
LH_Vis_3,-0.0102407129629629,0.0251513417614156,809.000024007056,-0.407163683755157,0.68399547904808,hiloBX,0.743473346791391,L,3
LH_Vis_4,-0.0467501064814816,0.0186167901935363,809.000001358899,-2.51117974664145,0.0122267038621541,hiloBX,0.0279467516849237,L,4
LH_Vis_5,-0.0589898194444443,0.0244128160240711,809.000000219012,-2.4163463725889,0.0158975673567886,hiloBX,0.0347487811077347,L,5
LH_Vis_6,0.00693786805555517,0.0326318676638575,809.0000037188,0.212610204448684,0.831684570260876,hiloBX,0.859622294843283,L,6
LH_Vis_7,-0.0711956342592591,0.019612360501449,809.000000345816,-3.63014101510112,0.000301077136754496,hiloBX,0.000995296319849572,L,7
LH_Vis_8,-0.0117900069444444,0.0255511820604553,809.000001483292,-0.461427064961172,0.644616274304242,hiloBX,0.713610379400339,L,8
LH_Vis_9,-0.00634302083333281,0.0273139106217589,809.000000209337,-0.232226755120148,0.816420630125588,hiloBX,0.852781871510714,L,9
LH_Vis_10,-0.0418744444444445,0.0237573833487966,809.00019157243,-1.76258655381615,0.0783478037971893,hiloBX,0.129500502144114,L,10
LH_Vis_11,-0.0382352152777778,0.0263009111299632,809.000001222429,-1.45376010317067,0.146400639221036,hiloBX,0.217696117800797,L,11
LH_Vis_12,0.0633001064814815,0.0351160386801848,809.000178231855,1.80259815345289,0.071823409128612,hiloBX,0.122252611282744,L,12
LH_Vis_13,-0.00229173148148176,0.0320836917430168,809.000002726913,-0.0714297936733098,0.94307335235025,hiloBX,0.952599345808333,L,13
LH_Vis_14,0.00105005092592601,0.0255164865949799,809.000000421209,0.0411518616411949,0.967184983599845,hiloBX,0.971969706941561,L,14
LH_Vis_15,0.0311465300925926,0.0266814155737407,809.000001139312,1.1673492362694,0.243413308490818,hiloBX,0.331174569375263,L,15
LH_Vis_16,0.045292851851852,0.0370476150219372,809.000001309786,1.22255783064666,0.221852795588104,hiloBX,0.308128882761255,L,16
LH_Vis_17,-0.0555617800925926,0.0219916357691037,809.000020531327,-2.5264960131184,0.0117103364938696,hiloBX,0.0269203137790106,L,17
LH_Vis_18,0.0290300625,0.0272012730626471,809.000025366843,1.06723175908499,0.28618556375113,hiloBX,0.376559952304118,L,18
LH_Vis_19,-0.00639330324074076,0.0243752360139041,809.000183602114,-0.262286824098601,0.793167091150538,hiloBX,0.837115663483418,L,19
LH_Vis_20,-0.0958223171296292,0.025815926465278,809.000146770786,-3.71175201705461,0.000219927332966289,hiloBX,0.000771674852513295,L,20
LH_Vis_21,0.0714007986111111,0.0317538058519609,809.000000143765,2.24857451557108,0.0248079775113267,hiloBX,0.0513452296305998,L,21
LH_Vis_22,0.0433505648148147,0.0307085649049018,809.000000235373,1.41167667551586,0.158429673173475,hiloBX,0.231284194413832,L,22
LH_Vis_23,-0.0430146527777776,0.0194152195993556,809.000002954881,-2.21551203980228,0.0270026635696978,hiloBX,0.0553900791173289,L,23
LH_Vis_24,-0.0589022152777781,0.0205913863042332,809.000164401081,-2.86052694109619,0.00433833301875719,hiloBX,0.0115688880500192,L,24
LH_Vis_25,-0.0399813611111111,0.0207478191818933,809.000176112944,-1.92701511231614,0.0543276640189965,hiloBX,0.0983306136090435,L,25
LH_Vis_26,-0.041211201388889,0.0216628484684072,809.000001304868,-1.90239069663395,0.0574749537957888,hiloBX,0.103558475307728,L,26
LH_Vis_27,-0.0422683009259255,0.0223798851151611,809.000001245217,-1.88867372233699,0.0592930587192896,hiloBX,0.104943466759805,L,27
LH_Vis_28,0.0313937453703705,0.0207958179005447,809.000021195142,1.50961820883939,0.131531319158102,hiloBX,0.199289877512275,L,28
LH_Vis_29,-0.0930960023148145,0.0229450015075731,809.000020510396,-4.05735437777539,5.4441344953094e-05,hiloBX,0.000226838937304558,L,29
LH_Vis_30,-0.0202293865740741,0.0215985024117105,809.000024992416,-0.936610612553669,0.349238397585649,hiloBX,0.436999663309984,L,30
LH_Vis_31,0.00032915972222231,0.0206889006423998,809.000021329492,0.0159099667938726,0.987310141388864,hiloBX,0.987310141388864,L,31
LH_SomMot_1,-0.0422064814814815,0.0183010442833683,809.000001312197,-2.30623350383552,0.0213495350359363,hiloBX,0.0449463895493396,L,32
LH_SomMot_2,-0.0455061319444444,0.0257555943033297,809.000188945684,-1.76684457009642,0.077631275534251,hiloBX,0.129500502144114,L,33
LH_SomMot_3,-0.0161523564814814,0.0203544576853838,809.000000281337,-0.793553762578511,0.427687943378075,hiloBX,0.518409628337061,L,34
LH_SomMot_4,-0.0101740740740741,0.0221294580914408,809.00000146225,-0.459752517754118,0.645817393357307,hiloBX,0.713610379400339,L,35
LH_SomMot_5,-0.0423832013888889,0.0255674132184201,809.000002708751,-1.6577039306563,0.0977649216221637,hiloBX,0.154569046042947,L,36
LH_SomMot_6,-0.0342094027777777,0.0211891346073461,809.000021528602,-1.61447852456974,0.106813601069337,hiloBX,0.165602482278042,L,37
