parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_Vis_1,-0.0115869861111111,0.0304393306432443,377.000002665474,-0.380658374092163,0.703671155179258,hiloRN,0.887757754392346,L,1
LH_Vis_2,-0.00305181481481457,0.0309330054116873,377.000000374903,-0.098658852387538,0.92146157560026,hiloRN,0.973943523559439,L,2
LH_Vis_3,-0.00517173611111122,0.0347371075753305,377.00000172858,-0.148882174484328,0.881726212592503,hiloRN,0.95321752712703,L,3
LH_Vis_4,-0.0202648518518519,0.0349162992342845,377.000107437038,-0.580383726118193,0.562002611519769,hiloRN,0.860657121776571,L,4
LH_Vis_5,-0.0215365231481483,0.0342934545490962,377.000000194699,-0.628006814458296,0.530379704009547,hiloRN,0.851971777845771,L,5
LH_Vis_6,-0.0514987962962972,0.0495060517808145,377.000000201924,-1.04025254375577,0.298889251924589,hiloRN,0.703268828057857,L,6
LH_Vis_7,-0.0126398472222222,0.0337202320983837,377.000000204926,-0.374844609175394,0.707986809127896,hiloRN,0.887757754392346,L,7
LH_Vis_8,-0.0188138194444445,0.034943183475547,377.000000204174,-0.538411717913745,0.590610578117315,hiloRN,0.872257947794747,L,8
LH_Vis_9,0.00190714814814833,0.0425521821210928,377.000000163686,0.04481904459614,0.964275274636105,hiloRN,0.984639742135519,L,9
LH_Vis_10,0.0168437638888889,0.0459715216196657,377.00000273473,0.366395613968181,0.714275426339694,hiloRN,0.890250848424405,L,10
LH_Vis_11,0.047012337962963,0.0430847667408576,377.000000210221,1.09115916179212,0.275899722867417,hiloRN,0.689749307168543,L,11
LH_Vis_12,-0.0278661064814819,0.0620965953524297,377.000000256757,-0.448754176027327,0.653866825026611,hiloRN,0.872257947794747,L,12
LH_Vis_13,0.136130291666667,0.0543529550342799,377.000000321256,2.50456100465579,0.0126817163064742,hiloRN,0.127470903319021,L,13
LH_Vis_14,-0.0218069305555555,0.0372631755377559,377.00000305565,-0.585213960991066,0.558753963599922,hiloRN,0.859621482461419,L,14
LH_Vis_15,0.057056425925926,0.0420462348562306,377.000000883935,1.35699251362268,0.175595485886442,hiloRN,0.561905554836615,L,15
LH_Vis_16,0.102905712962963,0.0597266510028025,377.000001954922,1.72294463585668,0.0857185418654384,hiloRN,0.375175473063198,L,16
LH_Vis_17,-0.061515662037037,0.0300764461591878,377.000000094728,-2.04531019760275,0.041518006273162,hiloRN,0.251608237253629,L,17
LH_Vis_18,0.10900275462963,0.0430629444685992,377.000000306329,2.5312424864285,0.0117716380904309,hiloRN,0.127470903319021,L,18
LH_Vis_19,-0.0624087453703701,0.0395606557415792,377.000001852555,-1.57754577623892,0.115508686670678,hiloRN,0.431808174469826,L,19
LH_Vis_20,-0.00515390740740779,0.0470282116308225,377.000000161362,-0.109591822199547,0.912791407213934,hiloRN,0.971054688525462,L,20
