parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_Vis_1,0.065737878086422,0.0110268088162889,1241.00000042456,5.96164123107977,3.25054489034532e-09,hiloInCon,2.36403264752387e-08,L,1
LH_Vis_2,-0.0256610030864198,0.00894145607258978,1241.00000154294,-2.86989086319891,0.00417576679468384,hiloInCon,0.0103745758874133,L,2
LH_Vis_3,0.079462098765429,0.0135004421422403,1241.00001246157,5.88588861966285,5.08867667820422e-09,hiloInCon,3.57100117768717e-08,L,3
LH_Vis_4,0.0161282422839504,0.00961432228768708,1241.00018987734,1.67752253371053,0.0936921578747996,hiloInCon,0.158800267584406,L,4
LH_Vis_5,0.00675150308642005,0.011327294965734,1241.00018377914,0.596038428136982,0.551258248403999,hiloInCon,0.662172070154954,L,5
LH_Vis_6,0.078987128086417,0.0163616551822693,1241.00000153235,4.82757564601491,1.55393253718075e-06,hiloInCon,6.54287384076104e-06,L,6
LH_Vis_7,-0.00878434104938295,0.0105483417187276,1241.00000084787,-0.832769859340748,0.405134769180555,hiloInCon,0.524446303146349,L,7
LH_Vis_8,0.0648736682098765,0.0123924809233826,1241.00000051528,5.23492177320771,1.93667251142019e-07,hiloInCon,9.80593676668453e-07,L,8
LH_Vis_9,0.0284089459876548,0.0150947100403247,1241.00000155224,1.88204648593857,0.0600635435385914,hiloInCon,0.109705102353592,L,9
LH_Vis_10,0.00936180246913608,0.0119408595135372,1241.00000070331,0.784014120467853,0.433181438094298,hiloInCon,0.546601183715202,L,10
LH_Vis_11,0.00433484259259244,0.01268914909897,1241.00002118094,0.34161806743561,0.732696174377008,hiloInCon,0.814106860418897,L,11
LH_Vis_12,0.0942376111111113,0.019748377104645,1241.00000097991,4.77191673076497,2.04135876265469e-06,hiloInCon,8.24791419254422e-06,L,12
LH_Vis_13,0.0378849552469136,0.0162049945622961,1241.00000257165,2.33785670839162,0.019552902943409,hiloInCon,0.0403152638008432,L,13
LH_Vis_14,0.0769203904320983,0.0143329796909481,1241.00000013762,5.36667127775788,9.56254300971792e-08,hiloInCon,5.03291737353575e-07,L,14
LH_Vis_15,0.0407000046296297,0.0153708598309765,1241.00000080827,2.64786778860659,0.00820278454843745,hiloInCon,0.0189659758345375,L,15
LH_Vis_16,0.0712908904320979,0.0168805964150986,1241.00000032161,4.22324476452341,2.58393228470481e-05,hiloInCon,8.75909249052479e-05,L,16
LH_Vis_17,0.00767399537037014,0.00974771872481597,1241.00000051863,0.787260649082283,0.431279623675797,hiloInCon,0.545923574273161,L,17
LH_Vis_18,0.0563051265432096,0.0130680090631824,1241.00000275815,4.30862316294552,1.77250062758336e-05,hiloInCon,6.27433850471988e-05,L,18
LH_Vis_19,0.040178595679012,0.013324329362304,1241.00000013216,3.01543098992147,0.00261830284420088,hiloInCon,0.00680078660831398,L,19
LH_Vis_20,-0.00746190123456785,0.0144130957445971,1241.00002211847,-0.517716760284827,0.604748175355128,hiloInCon,0.709061688175622,L,20
LH_Vis_21,0.0801904722222237,0.0147535510767154,1241.00012617161,5.43533362274954,6.57881449572821e-08,hiloInCon,3.60482986067299e-07,L,21
LH_Vis_22,0.0760562839506179,0.0148701567819817,1241.00000149373,5.11469280826788,3.63735504884465e-07,hiloInCon,1.65650143757161e-06,L,22
LH_Vis_23,0.0349347932098764,0.00940831746324501,1241.00000174081,3.71318180390429,0.000213750917496436,hiloInCon,0.000638062440287868,L,23
LH_Vis_24,-0.00242244907407415,0.0104873958152364,1241.00000286204,-0.2309867117397,0.817363200287764,hiloInCon,0.862652454129566,L,24
LH_Vis_25,0.0184988564814815,0.00948313727209277,1241.00000374444,1.9507106088109,0.0513163040874819,hiloInCon,0.0963686461736748,L,25
LH_Vis_26,0.0186832762345684,0.0103339756178813,1241.00000152535,1.80794661468331,0.0708568233624073,hiloInCon,0.125967685977613,L,26
LH_Vis_27,0.0382671635802474,0.0105974201554398,1241.00000162523,3.61098861977313,0.000317200264476922,hiloInCon,0.000926132159056705,L,27
LH_Vis_28,0.0534746250000001,0.0103785568802662,1241.00000059421,5.15241431124946,2.98893253430786e-07,hiloInCon,1.47601606632487e-06,L,28
LH_Vis_29,0.0128232530864191,0.0106485280843002,1241.00000179279,1.20422775663476,0.228731185342576,hiloInCon,0.327930014828065,L,29
LH_Vis_30,0.0440305185185191,0.0103654930001738,1241.0000014873,4.24779781509482,2.32007678564397e-05,hiloInCon,8.00026477808266e-05,L,30
LH_Vis_31,0.0511597453703712,0.010078293737342,1241.0000015533,5.07623082871802,4.43764170207629e-07,hiloInCon,1.9722852009228e-06,L,31
LH_SomMot_1,-0.00220178240740813,0.00983905822461907,1241.00000053539,-0.22377979244994,0.822965487003167,hiloInCon,0.864005760633246,L,32
LH_SomMot_2,0.00552421913580233,0.0142173455243217,1241.00004177755,0.388554890668726,0.697672090527225,hiloInCon,0.783901225311489,L,33
LH_SomMot_3,0.00566085030864092,0.0102318971922153,1241.0000005544,0.553255198160889,0.580188325992707,hiloInCon,0.686613403541665,L,34
LH_SomMot_4,0.00745052623456748,0.0112865922811633,1241.00000374761,0.660121855114939,0.509298132028717,hiloInCon,0.62109528296185,L,35
LH_SomMot_5,0.00675597222222227,0.0120763989946509,1241.00000063626,0.559435989587189,0.575965152660102,hiloInCon,0.68363816339478,L,36
LH_SomMot_6,0.0272069768518507,0.0109657710232005,1241.00004188054,2.48108197720785,0.0132301021657205,hiloInCon,0.0282996837769422,L,37
LH_SomMot_7,0.0173649475308652,0.0123827452084347,1241.00000059117,1.40235038665229,0.161060732496536,hiloInCon,0.243616276934029,L,38
LH_SomMot_8,0.00210494444444244,0.0133322567602552,1241.00000191004,0.157883581324168,0.874574221068328,hiloInCon,0.903952683274758,L,39
LH_SomMot_9,0.0150307407407387,0.014853982274841,1241.00000062487,1.0118997358841,0.311783242155205,hiloInCon,0.418500996181483,L,40
LH_SomMot_10,-0.0271540756172836,0.0122746211989801,1241.00000063166,-2.21221292104231,0.0271335202758855,hiloInCon,0.0542670405517709,L,41
LH_SomMot_11,0.0209480601851856,0.01227887406458,1241.00000113634,1.70602451617392,0.0882537257785785,hiloInCon,0.150861069706972,L,42
LH_SomMot_12,0.0452359783950661,0.016866061680302,1241.00009115238,2.68207120621986,0.00741389934805498,hiloInCon,0.017444469054247,L,43
LH_SomMot_13,0.00998862345679011,0.01281102933675,1241.00023265227,0.779689375008808,0.435722401022616,hiloInCon,0.548078491852348,L,44
LH_SomMot_14,0.0402595216049331,0.020798364515566,1241.00000056741,1.93570612606592,0.0531306051582635,hiloInCon,0.098847637503746,L,45
LH_SomMot_15,-0.00735099845679014,0.0100424533470178,1241.00000310953,-0.731992293394431,0.464311479913768,hiloInCon,0.578581283381642,L,46
LH_SomMot_16,0.0751302438271642,0.0185109166719548,1241.0000005758,4.05869926155474,5.243211247993e-05,hiloInCon,0.000171908565507967,L,47
LH_SomMot_17,0.0467404274691388,0.0183062724235907,1241.000169406,2.55324658060404,0.0107911676036797,hiloInCon,0.0242498148397296,L,48
LH_SomMot_18,0.0140653688271598,0.00887978186824135,1241.00000144615,1.58397684040694,0.113453771528676,hiloInCon,0.184222136114642,L,49
LH_SomMot_19,0.0331134814814815,0.012850243836921,1241.00000140894,2.57687573105349,0.0100844372082754,hiloInCon,0.0227896886062722,L,50
LH_SomMot_20,0.00577205246913637,0.0111802436085234,1241.00000133721,0.516272513484052,0.605756066387041,hiloInCon,0.709061688175622,L,51
LH_SomMot_21,-0.0151821558641976,0.0106815378644049,1241.00000100964,-1.42134550819602,0.155467574200573,hiloInCon,0.237355075115379,L,52
LH_SomMot_22,-0.0050963518518519,0.0134652985270654,1241.00000050092,-0.378480420735432,0.705138470611596,hiloInCon,0.7900711155312,L,53
LH_SomMot_23,0.0122988919753087,0.0096734593281276,1241.00014905287,1.2714057668643,0.203822565653207,hiloInCon,0.298641121836201,L,54
LH_SomMot_24,0.00408951080246923,0.00915390133556995,1241.00000024208,0.44675058781531,0.655133101239196,hiloInCon,0.755196658488987,L,55
LH_SomMot_25,0.0382665848765436,0.0110121430427738,1241.00000136769,3.47494440708833,0.000528581763377404,hiloInCon,0.0015210985996472,L,56
