parcel,estimate,se,df,statistic,p.value,term,p.fdr,network
LH_Vis_1,0.045075500378561,0.0570558226899686,51.9999974269261,0.790024545321053,0.433101450909624,(Intercept),0.585272230958951,Vis
LH_Vis_2,-1.60820737715321e-05,0.0626442120927859,51.9997509850556,-0.000256720824386968,0.999796148777753,(Intercept),0.999796148777753,Vis
LH_Vis_3,-0.02067794229294,0.0647150595805022,51.9999485259326,-0.319522881180658,0.750610230547627,(Intercept),0.841019866159806,Vis
LH_Vis_4,0.100975569739379,0.0595401288985328,51.9999971623706,1.69592460761144,0.095880161439829,(Intercept),0.189861705821444,Vis
LH_Vis_5,0.23665629526263,0.070274585907596,51.9999483718571,3.36759430462969,0.00143346618006331,(Intercept),0.00754455884243847,Vis
LH_Vis_6,0.104737107901095,0.0610667469700725,51.9997519894169,1.71512505738064,0.092276480699253,(Intercept),0.184552961398506,Vis
LH_Vis_7,0.0482905141539781,0.056649151870611,51.9999997014974,0.852449022789885,0.39787418676605,(Intercept),0.550642698478797,Vis
LH_Vis_8,0.114896046899424,0.0708318931253692,51.9999976595334,1.62209481957602,0.110831338073908,(Intercept),0.211107310616968,Vis
LH_Vis_9,-0.00555090539970261,0.0690941593706055,51.9999992746834,-0.0803382724425201,0.936276621459201,(Intercept),0.963193602313039,Vis
LH_Vis_10,0.058554710312899,0.0606647120096218,51.9998537961985,0.965218631609293,0.338902946721952,(Intercept),0.489390536782602,Vis
LH_Vis_11,0.0465023255182527,0.0647403178948818,51.9996501094483,0.718290039813491,0.475793569752052,(Intercept),0.617913726950717,Vis
LH_Vis_12,0.0395728178258627,0.06739931436115,51.9999995136482,0.587139768422824,0.55965063693135,(Intercept),0.688800783915508,Vis
LH_Vis_13,-0.0173038630311291,0.0421087135149797,51.9999999104036,-0.410933072675647,0.682810186830448,(Intercept),0.787101079919824,Vis
LH_Vis_14,0.0285297007808127,0.057132961986472,51.999953891202,0.499356234804841,0.619634712756878,(Intercept),0.734940125462914,Vis
LH_Vis_15,0.00739245555474859,0.058159411922026,51.9999539390753,0.127106779632841,0.89934613421842,(Intercept),0.953427399161849,Vis
LH_Vis_16,0.112646938706352,0.0586105302301619,51.999997183913,1.92195733879204,0.0600984034402634,(Intercept),0.13355200764503,Vis
LH_Vis_17,0.146973772672703,0.0697364748506631,51.9999995172229,2.10755953735029,0.0399089849321031,(Intercept),0.0961662287520558,Vis
LH_Vis_18,-0.00084675623043888,0.0691206227992953,51.9999995445891,-0.0122504137860215,0.990272708678178,(Intercept),0.992754595166093,Vis
LH_Vis_19,0.04185811296426,0.0643455790575839,51.9999943246441,0.65052041767781,0.518220186456598,(Intercept),0.649805876434606,Vis
LH_Vis_20,0.176996110944007,0.0524972623455838,51.999997082397,3.37153030531118,0.00141679314330232,(Intercept),0.00754455884243847,Vis
LH_Vis_21,0.158783516174879,0.0563761927177411,51.9999971740386,2.81649945695803,0.00684555372445692,(Intercept),0.0244018068584477,Vis
LH_Vis_22,0.152899010560704,0.0586784544427109,51.9999449808493,2.6057095745421,0.0119304466908167,(Intercept),0.0381774294106134,Vis
LH_Vis_23,0.00863484692395838,0.0698309802323376,51.9999939099874,0.12365352591685,0.902066339833017,(Intercept),0.953427399161849,Vis
LH_Vis_24,0.135269324332719,0.0644275254831544,51.999999557047,2.09955796561032,0.0406386633153694,(Intercept),0.096186185361821,Vis
LH_Vis_25,0.279044221689733,0.0680197620166796,51.9999482336118,4.10239926480935,0.000144381149688333,(Intercept),0.00131255590625757,Vis
LH_Vis_26,0.122803891959466,0.0554207664369468,51.9999226788004,2.21584615036284,0.0311034641297441,(Intercept),0.0782477085025008,Vis
LH_Vis_27,0.0899815704874551,0.056939213095752,51.9999994148192,1.58030934386356,0.120100330586552,(Intercept),0.222408019604727,Vis
LH_Vis_28,0.200964484655636,0.0732541758901815,51.9999995345348,2.74338605565518,0.00832374467098161,(Intercept),0.0284572467383987,Vis
LH_Vis_29,0.113035327554244,0.0724857586065727,51.9999991495797,1.55941428671196,0.124964343341605,(Intercept),0.228245375966403,Vis
LH_Vis_30,0.206499142102759,0.0730897716225514,51.999999540506,2.8252809869096,0.00668534693084794,(Intercept),0.0240913402913439,Vis
LH_Vis_31,0.108500761508446,0.0721240825784885,51.9999494459482,1.50436244912191,0.138538128011114,(Intercept),0.244899224142854,Vis
LH_SomMot_1,0.176500377553352,0.0506096192539623,51.9981907922199,3.48748676941555,0.00100063903026472,(Intercept),0.00588611194273364,SomMot
LH_SomMot_2,0.15108410216708,0.0590570632314345,51.9998394823715,2.55827320053161,0.0134716937832754,(Intercept),0.0417726939016292,SomMot
LH_SomMot_3,-0.0189489764985638,0.0656842016944408,51.9999489880449,-0.288486059200558,0.774121562202045,(Intercept),0.855493463871447,SomMot
LH_SomMot_4,0.0739514626354263,0.0592387860676966,51.9998036087192,1.24836222252962,0.217490062000536,(Intercept),0.346597708367388,SomMot
LH_SomMot_5,0.0839814270355219,0.0524619073026887,51.9999993632395,1.60080773561997,0.115478037486553,(Intercept),0.217883089597269,SomMot
LH_SomMot_6,0.145632191564656,0.0561494571650999,51.9999970624441,2.59365270685421,0.0123061473779697,(Intercept),0.0390671345332371,SomMot
LH_SomMot_7,0.0783132388631865,0.0543722452955067,51.9999982489876,1.44031644155145,0.155771955983904,(Intercept),0.266276847835733,SomMot
LH_SomMot_8,0.0567773163084961,0.0696298361798347,51.9999995019195,0.815416485568857,0.418553266000524,(Intercept),0.574791448679881,SomMot
LH_SomMot_9,0.164065299573469,0.0626696858930111,51.9999995908648,2.61793716109506,0.0115601344887229,(Intercept),0.0379020802908948,SomMot
LH_SomMot_10,0.0225204009184866,0.0600790273269722,51.9996578047812,0.374846296960207,0.709299279832697,(Intercept),0.808318267615609,SomMot
LH_SomMot_11,0.0283452329783704,0.0611600913131655,51.999948141062,0.463459624892167,0.644969036293669,(Intercept),0.751215781408466,SomMot
LH_SomMot_12,0.0884272149142645,0.0514079394389125,51.9999982381782,1.72010813659127,0.0913596998030978,(Intercept),0.184552961398506,SomMot
