parcel,estimate,se,df,statistic,p.value,term,p.fdr,network
LH_Vis_1,0.135885143801848,0.0702727525528308,51.999999629609,1.93368181642935,0.0586039866828795,(Intercept),0.836183875184469,Vis
LH_Vis_2,0.0713639966917882,0.0667133530828817,51.9999976410611,1.06971083589711,0.289689902520112,(Intercept),0.898263263628254,Vis
LH_Vis_3,-0.00624582863867825,0.0752978588868432,51.999965520101,-0.0829482900445339,0.934211144563545,(Intercept),0.997460964680316,Vis
LH_Vis_4,-0.0139349542397629,0.07934147877612,51.9999977520797,-0.175632650849419,0.861264707575795,(Intercept),0.995873056054404,Vis
LH_Vis_5,-0.0469307628862633,0.0821768923472614,51.9999991216507,-0.571094398263982,0.570395741773578,(Intercept),0.982995546213255,Vis
LH_Vis_6,0.0786017474645501,0.0696198404061899,51.999999626861,1.1290136117227,0.264073762190552,(Intercept),0.895816147226664,Vis
LH_Vis_7,-0.0753618647270258,0.0593567610331108,51.999999740556,-1.26964247063594,0.209864718526973,(Intercept),0.839339491410427,Vis
LH_Vis_8,0.0926277216782036,0.0610301086123486,51.9999982224073,1.51773810966906,0.135137091532803,(Intercept),0.836183875184469,Vis
LH_Vis_9,0.0565512409719076,0.0732503727872149,51.9999988060167,0.772026664440103,0.443593247365904,(Intercept),0.956142652908533,Vis
LH_Vis_10,-0.00736066718065626,0.0727734330715709,51.9999972326516,-0.101144976538584,0.919824368714803,(Intercept),0.997460964680316,Vis
LH_Vis_11,-0.0952648395377456,0.0649300723839068,51.9999996566272,-1.46719133430933,0.148346477797828,(Intercept),0.836183875184469,Vis
LH_Vis_12,0.0126111365726464,0.065832091650929,51.9999990403493,0.191565181302704,0.848828887968747,(Intercept),0.995873056054404,Vis
LH_Vis_13,-0.0378920319076152,0.0628730340943236,51.9999997242143,-0.602675414880864,0.549344057586471,(Intercept),0.982995546213255,Vis
LH_Vis_14,0.102627115563038,0.0671770602483134,51.9999992860477,1.52771072719894,0.132644814319596,(Intercept),0.836183875184469,Vis
LH_Vis_15,0.0440120714014249,0.0710450516295699,51.9999996343854,0.619495241285834,0.5382951769692,(Intercept),0.982995546213255,Vis
LH_Vis_16,0.0267421693606337,0.0671158636884944,51.999997678598,0.398447816819469,0.691931496893682,(Intercept),0.995873056054404,Vis
LH_Vis_17,0.0589011740208063,0.067203588391671,51.9999997812138,0.876458764039843,0.384811754513228,(Intercept),0.956142652908533,Vis
LH_Vis_18,0.0576874933196119,0.0680864544059961,51.9999972789768,0.847268282992448,0.400728430773636,(Intercept),0.956142652908533,Vis
LH_Vis_19,0.0513464140626166,0.062168549391559,51.999998328253,0.825922666125265,0.412621380934087,(Intercept),0.956142652908533,Vis
LH_Vis_20,0.0491794451425302,0.0673779437891767,51.9999969488427,0.729904214595967,0.468724235554314,(Intercept),0.976508824071488,Vis
LH_Vis_21,0.0361777499360515,0.0858315667052515,51.9999995321142,0.421497024052783,0.675129505134609,(Intercept),0.995873056054404,Vis
LH_Vis_22,0.100866820181696,0.07240817460652,51.9999992371305,1.39303083843538,0.169537469567884,(Intercept),0.836183875184469,Vis
LH_Vis_23,0.10156350531334,0.0703604251856655,51.9999993420383,1.44347486595393,0.154884516232028,(Intercept),0.836183875184469,Vis
LH_Vis_24,0.0984613233776269,0.0788005374451338,51.9999990277021,1.24950065786267,0.217076983373866,(Intercept),0.839339491410427,Vis
LH_Vis_25,0.0287351216705025,0.0676378399395702,51.9999992315588,0.424837956034305,0.672707610254801,(Intercept),0.995873056054404,Vis
LH_Vis_26,0.0763429104495293,0.058904666651791,51.9999992664523,1.29604180430767,0.200684130044273,(Intercept),0.836183875184469,Vis
LH_Vis_27,-0.0118642512718426,0.0816784392774119,51.9997292708975,-0.14525560694845,0.885070645053247,(Intercept),0.995873056054404,Vis
LH_Vis_28,-0.00507144562749396,0.0700955932240971,51.9999993774792,-0.07235042025082,0.942600611622899,(Intercept),0.997460964680316,Vis
LH_Vis_29,-0.0494952979947364,0.0617190116540273,51.9999978935731,-0.80194573225164,0.426234093711318,(Intercept),0.956142652908533,Vis
LH_Vis_30,0.139509779080115,0.0642321298923576,51.9999977364467,2.17196252582485,0.0344412078427669,(Intercept),0.836183875184469,Vis
LH_Vis_31,0.0373821930837643,0.0710545187471871,51.9999993641095,0.526105781066095,0.60105147170978,(Intercept),0.995873056054404,Vis
LH_SomMot_1,0.166638394010113,0.0788876925095226,51.9999990849263,2.11234970512033,0.0394776554347493,(Intercept),0.836183875184469,SomMot
LH_SomMot_2,0.0221952659301956,0.0833869654648478,51.9999989506321,0.266171886774703,0.791159415689494,(Intercept),0.995873056054404,SomMot
LH_SomMot_3,0.0951114702439823,0.0653373080123137,51.9999996200028,1.45569924959347,0.151486963607194,(Intercept),0.836183875184469,SomMot
LH_SomMot_4,0.0364319714677066,0.0674040518150924,51.9999998424395,0.540501208557156,0.591159142487267,(Intercept),0.995873056054404,SomMot
LH_SomMot_5,-0.0215775972297524,0.070464266860024,51.9999976563383,-0.306220417685121,0.760659550564559,(Intercept),0.995873056054404,SomMot
LH_SomMot_6,0.0229319564421045,0.0674355410995513,51.9999968297639,0.340057424737667,0.735183135905719,(Intercept),0.995873056054404,SomMot
LH_SomMot_7,0.133057300288183,0.0888253734459191,51.999999769138,1.49796499723352,0.140188619142477,(Intercept),0.836183875184469,SomMot
LH_SomMot_8,-0.00880330163089539,0.0661470753093464,51.9999976952981,-0.133086785617134,0.894638443516172,(Intercept),0.995873056054404,SomMot
LH_SomMot_9,-0.019125014796565,0.0729080591691124,51.9999617203561,-0.26231688258501,0.794113571530577,(Intercept),0.995873056054404,SomMot
LH_SomMot_10,0.00876629432621608,0.0780507012779921,51.9999965944993,0.112315381959136,0.911005801915812,(Intercept),0.997460964680316,SomMot
LH_SomMot_11,0.046044400975663,0.0657460566036252,51.9999975730357,0.700337075016665,0.486838593885788,(Intercept),0.982907128456492,SomMot
LH_SomMot_12,0.0121787449832558,0.0669530525672958,51.999997804825,0.181899771799272,0.856368623330949,(Intercept),0.995873056054404,SomMot
LH_SomMot_13,0.0722115940498344,0.0701679192754489,51.9999988830665,1.02912548634032,0.30818396892872,(Intercept),0.919952146055881,SomMot
LH_SomMot_14,0.0368679195504995,0.0767946690643468,51.999999534485,0.480084360017329,0.633180805119616,(Intercept),0.995873056054404,SomMot
LH_SomMot_15,0.0870537298792702,0.07087009696989,51.9999962271614,1.22835629696198,0.224843928633932,(Intercept),0.84053805096797,SomMot
LH_SomMot_16,0.0980778870742093,0.0600615480722273,51.9999978632465,1.6329563626343,0.108519588424856,(Intercept),0.836183875184469,SomMot
LH_SomMot_17,0.045548254971088,0.0818223736291361,51.999999104604,0.556672373958958,0.580139293691413,(Intercept),0.989040837105225,SomMot
LH_SomMot_18,-0.0887318162947086,0.0645814169937537,51.9999982382721,-1.37395276265448,0.175350195128937,(Intercept),0.836183875184469,SomMot
LH_SomMot_19,0.119645925774487,0.0725964314299825,51.9999977174974,1.64809651683613,0.105362848652952,(Intercept),0.836183875184469,SomMot
LH_SomMot_20,0.102858712967619,0.0829298252051289,51.9999990223535,1.24031025886279,0.220428143891219,(Intercept),0.839339491410427,SomMot
LH_SomMot_21,0.01089215624285,0.0740503675310379,51.9999998302435,0.147091184095536,0.883628869260083,(Intercept),0.995873056054404,SomMot
LH_SomMot_22,-0.0359849099204112,0.0716417187317197,51.9995974643753,-0.502289874635277,0.617584135204202,(Intercept),0.995873056054404,SomMot
LH_SomMot_23,0.0039827381289895,0.0713540282934692,51.9999994611371,0.0558165842103414,0.955701838636985,(Intercept),0.998315537397347,SomMot
LH_SomMot_24,0.0219118790717143,0.0686504428260593,51.9999996250267,0.31918044763721,0.750868383312006,(Intercept),0.995873056054404,SomMot
LH_SomMot_25,0.0679584290501468,0.0720559911949155,51.9999972673154,0.943133637095011,0.349973980201776,(Intercept),0.943702873286967,SomMot
LH_SomMot_26,-0.0599097642615274,0.0678563113248578,51.999998605503,-0.882891555580044,0.381358351602489,(Intercept),0.956142652908533,SomMot
LH_SomMot_27,-0.0949685429895891,0.0717886604472396,51.9999971131929,-1.32289058464025,0.191659983138745,(Intercept),0.836183875184469,SomMot
LH_SomMot_28,-0.10131377968329,0.0764118579767517,51.9999991940538,-1.32589080236885,0.19067096172147,(Intercept),0.836183875184469,SomMot
LH_SomMot_29,-0.0895900543738051,0.0716453480894612,51.9999996416671,-1.2504657561568,0.216727272398996,(Intercept),0.839339491410427,SomMot
LH_SomMot_30,-0.0390186769450687,0.0733721258870144,51.9999986312817,-0.53179155535378,0.597135097777888,(Intercept),0.995873056054404,SomMot
LH_SomMot_31,-0.0498203068863819,0.0611975719685409,51.9999992856956,-0.814089600025184,0.419306094884732,(Intercept),0.956142652908533,SomMot
LH_SomMot_32,-0.154021939578124,0.0627856771033397,51.9999840658677,-2.45313814685184,0.0175511182833239,(Intercept),0.836183875184469,SomMot
LH_SomMot_33,0.00240112765094898,0.0564057343471636,51.9999998131539,0.0425688572046705,0.966208259768687,(Intercept),0.999633345361607,SomMot
LH_SomMot_34,-0.0828947230589149,0.0564144044079561,51.9999991379633,-1.46938931517328,0.147751697329149,(Intercept),0.836183875184469,SomMot
LH_SomMot_35,-0.126749966069803,0.0648270495350178,51.9999985110596,-1.95520183286047,0.0559435775688695,(Intercept),0.836183875184469,SomMot
LH_SomMot_36,-0.0259442250888517,0.0735190884359332,51.9993451917752,-0.352891006142715,0.725596666938986,(Intercept),0.995873056054404,SomMot
LH_SomMot_37,-0.179853728040922,0.0727504336006931,51.9999985512365,-2.4722014583183,0.0167373761364559,(Intercept),0.836183875184469,SomMot
