parcel,estimate,se,df,statistic,p.value,term,p.fdr,network
LH_Vis_1,0.0496643051642354,0.0976090856604604,51.9999977668281,0.508808220343298,0.613038826003002,(Intercept),0.965458763494532,Vis
LH_Vis_2,0.0357455762002941,0.077459611003118,51.9999988087937,0.461473737569573,0.64638342148757,(Intercept),0.965458763494532,Vis
LH_Vis_3,-0.0856454274444439,0.110594435825342,51.9999997070041,-0.774409913168692,0.442195415993579,(Intercept),0.965458763494532,Vis
LH_Vis_4,-0.0756241407591395,0.0917388423004351,51.9999973530113,-0.824341564192388,0.413510794519716,(Intercept),0.956094322588938,Vis
LH_Vis_5,-0.0118441199899363,0.12993112737325,51.9999994642234,-0.0911569092748038,0.927718165105893,(Intercept),0.994087331707222,Vis
LH_Vis_6,-0.0779244452706438,0.0930675063102363,51.9999990241464,-0.837289494046248,0.406261637687899,(Intercept),0.956094322588938,Vis
LH_Vis_7,0.011639014257249,0.0981908281085582,51.99999712942,0.118534637923423,0.906100771909142,(Intercept),0.994087331707222,Vis
LH_Vis_8,0.00663431726511871,0.0850012235042453,51.9999978750749,0.0780496678943375,0.938088107172253,(Intercept),0.994087331707222,Vis
LH_Vis_9,-0.086020176663046,0.0790646012158964,51.9999972371263,-1.08797331979398,0.281623947334637,(Intercept),0.929888706938718,Vis
LH_Vis_10,-0.157224871923876,0.099327672068004,51.9999993057431,-1.5828909371422,0.119510111257445,(Intercept),0.928370301880084,Vis
LH_Vis_11,-0.0570553887061958,0.0946976241465605,51.999999464695,-0.602500740862231,0.549459401507596,(Intercept),0.965458763494532,Vis
LH_Vis_12,-0.109567603007339,0.0775301983686659,51.9999990742293,-1.41322485061023,0.163547916147868,(Intercept),0.929888706938718,Vis
LH_Vis_13,0.0400309224918959,0.0904488457462519,51.9999982702022,0.442580799805892,0.659904537547619,(Intercept),0.965458763494532,Vis
LH_Vis_14,-0.00656588825741226,0.108187016040601,51.9999991929686,-0.0606901687254984,0.951838620109665,(Intercept),0.994087331707222,Vis
LH_Vis_15,-0.103073340117067,0.100214289160456,51.9999658849369,-1.02852937420963,0.308461473356406,(Intercept),0.929888706938718,Vis
LH_Vis_16,-0.13028269298599,0.0952716526784614,51.9999971756031,-1.36748643823457,0.177354708144468,(Intercept),0.929888706938718,Vis
LH_Vis_17,0.0855543181468108,0.110584831109285,51.999999512861,0.773653287603812,0.442638913426436,(Intercept),0.965458763494532,Vis
LH_Vis_18,-0.111436128861012,0.10160898404117,51.9999992538205,-1.09671531422714,0.277818890786381,(Intercept),0.929888706938718,Vis
LH_Vis_19,-0.18209413409346,0.100239560991464,51.9999991524941,-1.81658950111489,0.0750457238091948,(Intercept),0.928370301880084,Vis
LH_Vis_20,-0.0872358023994898,0.098196725097136,51.9999978973579,-0.888377920070107,0.378428548608756,(Intercept),0.9381275477106,Vis
LH_Vis_21,-0.158511198207554,0.104741278614957,51.9999992981669,-1.51335939663542,0.136243083162016,(Intercept),0.928370301880084,Vis
LH_Vis_22,0.100663615311354,0.108693998385245,51.9999991748574,0.926119351636792,0.358662377594517,(Intercept),0.929888706938718,Vis
LH_Vis_23,-0.0652776589705964,0.0964077968613623,51.9999987399987,-0.677099374695471,0.501344187436562,(Intercept),0.965458763494532,Vis
LH_Vis_24,-0.142240064949797,0.100865790079579,51.9999990561743,-1.41019135266353,0.164437033657043,(Intercept),0.929888706938718,Vis
LH_Vis_25,-0.103409151837258,0.0941829251383833,51.9999993696225,-1.09796071512239,0.277279760310622,(Intercept),0.929888706938718,Vis
LH_Vis_26,-0.0077166766439644,0.103392910235607,51.999999044246,-0.0746344853470129,0.940791916857876,(Intercept),0.994087331707222,Vis
LH_Vis_27,0.108905090115843,0.0951147525072663,51.9999978398988,1.14498631647622,0.257457521941536,(Intercept),0.929888706938718,Vis
LH_Vis_28,0.0653856609328571,0.0976820755791653,51.9999998087062,0.669372149856358,0.50621942682605,(Intercept),0.965458763494532,Vis
LH_Vis_29,0.00251062606317045,0.092541994692491,51.9999965633798,0.0271295866434805,0.978460227282426,(Intercept),0.997074744127589,Vis
LH_Vis_30,-0.0668905030241269,0.117630191894183,51.9999993142307,-0.568650802544805,0.572040981843651,(Intercept),0.965458763494532,Vis
LH_Vis_31,-0.0829367659039125,0.0989338749343167,51.9999993046969,-0.838305039188803,0.405696384615183,(Intercept),0.956094322588938,Vis
LH_SomMot_1,0.100947254304851,0.0963012747006452,51.9999972916197,1.04824421710562,0.299373941239984,(Intercept),0.929888706938718,SomMot
LH_SomMot_2,0.0299513484667419,0.0943338768481216,51.9999995930044,0.317503631436285,0.752132916479012,(Intercept),0.965458763494532,SomMot
LH_SomMot_3,-0.0252248781002349,0.0956285285825106,51.9999977227106,-0.263779841373071,0.792992120234939,(Intercept),0.966108262450053,SomMot
LH_SomMot_4,0.0576166015450899,0.113301465592691,51.9999993226563,0.508524768357514,0.613236162807366,(Intercept),0.965458763494532,SomMot
LH_SomMot_5,0.143924529807803,0.0976777160641884,51.9999970900087,1.47346329958436,0.14665422547829,(Intercept),0.929888706938718,SomMot
LH_SomMot_6,0.169873562922484,0.108650786769717,51.9999991915006,1.56348212445555,0.124005225114433,(Intercept),0.928370301880084,SomMot
LH_SomMot_7,0.214010171372801,0.102414938568496,51.9999978462648,2.08963823407137,0.0415593958204175,(Intercept),0.928370301880084,SomMot
LH_SomMot_8,0.0562820347687779,0.0968304548683779,51.9999972587169,0.581243110396232,0.563587691932729,(Intercept),0.965458763494532,SomMot
LH_SomMot_9,0.112642266375156,0.0846458362934086,51.9999977399912,1.33074787027567,0.18907803384184,(Intercept),0.929888706938718,SomMot
LH_SomMot_10,-0.0376146981808374,0.0758722106139753,51.9999982511709,-0.49576383601388,0.622149922608594,(Intercept),0.965458763494532,SomMot
LH_SomMot_11,-0.10155410244259,0.108850600445726,51.9999969154762,-0.932967774424226,0.355148557048242,(Intercept),0.929888706938718,SomMot
LH_SomMot_12,-0.0121271246998802,0.109322439486593,51.9999998279804,-0.110929876398956,0.912099010902597,(Intercept),0.994087331707222,SomMot
LH_SomMot_13,-0.0907767909828736,0.0868384047039597,51.999997457522,-1.04535304733361,0.300695001767645,(Intercept),0.929888706938718,SomMot
LH_SomMot_14,-0.109926310359155,0.0943887811973769,51.9999972074536,-1.16461203296277,0.249491279658891,(Intercept),0.929888706938718,SomMot
LH_SomMot_15,0.0113812433320576,0.101713980731335,51.9999992150095,0.111894581749974,0.911337808734027,(Intercept),0.994087331707222,SomMot
LH_SomMot_16,0.00328320366175619,0.112507978056311,51.9999991185312,0.0291819630792132,0.976831179859408,(Intercept),0.997074744127589,SomMot
LH_SomMot_17,0.0303338532397558,0.108332307980351,51.9999990701319,0.280007449349808,0.780582676249584,(Intercept),0.965458763494532,SomMot
LH_SomMot_18,-0.0180542666680799,0.108975274293989,51.9999993171044,-0.165673055516922,0.869056699599048,(Intercept),0.988003935618477,SomMot
LH_SomMot_19,0.017960515673815,0.0970447501933505,51.9999976495972,0.185074572689721,0.853890519184619,(Intercept),0.988003935618477,SomMot
LH_SomMot_20,-0.0419039557609748,0.0917359996289277,51.9999991601507,-0.456788566434948,0.649725498542697,(Intercept),0.965458763494532,SomMot
LH_SomMot_21,-0.00941231487947359,0.0891478872673813,51.999996952889,-0.105580907949543,0.916321108894288,(Intercept),0.994087331707222,SomMot
LH_SomMot_22,-0.0829950043643287,0.0775694288409806,51.9999783231524,-1.06994476566884,0.289585582830766,(Intercept),0.929888706938718,SomMot
LH_SomMot_23,-0.0606554922552639,0.104654836179429,51.9999986175693,-0.579576582120593,0.564702877058482,(Intercept),0.965458763494532,SomMot
LH_SomMot_24,0.0888764689553704,0.0899014588767354,51.9999993594484,0.988598739840581,0.327437417215858,(Intercept),0.929888706938718,SomMot
LH_SomMot_25,0.0295634642647102,0.102237984249059,51.9999991921853,0.28916321543167,0.773606221877154,(Intercept),0.965458763494532,SomMot
LH_SomMot_26,-0.102605156320079,0.0790759048595486,51.9999985985862,-1.29755273116788,0.200167960999833,(Intercept),0.929888706938718,SomMot
LH_SomMot_27,-0.180173238775949,0.0933810909725072,51.9999975929453,-1.92944028496084,0.0591409112062139,(Intercept),0.928370301880084,SomMot
LH_SomMot_28,0.165491627912113,0.111554460715476,51.9999992728103,1.48350524802594,0.143976469579233,(Intercept),0.929888706938718,SomMot
LH_SomMot_29,-0.0707518977671992,0.0801096345943164,51.9999977683106,-0.883188372103983,0.381199481404339,(Intercept),0.9381275477106,SomMot
LH_SomMot_30,0.0546691011059534,0.0913716839014724,51.9999993755099,0.598315569678063,0.552226698520682,(Intercept),0.965458763494532,SomMot
LH_SomMot_31,-0.0127730706645144,0.104370455707202,51.99999730455,-0.122382053215784,0.903068207483662,(Intercept),0.994087331707222,SomMot
LH_SomMot_32,-0.0411630660149442,0.0854499360593717,51.9999971565673,-0.481721437290996,0.63202509223459,(Intercept),0.965458763494532,SomMot
LH_SomMot_33,0.0616053801508907,0.117310965393147,51.9999991555519,0.525145965208209,0.601713771007286,(Intercept),0.965458763494532,SomMot
LH_SomMot_34,0.0638346894608241,0.0839896369966801,51.9999990635011,0.760030543569885,0.450668581957703,(Intercept),0.965458763494532,SomMot
LH_SomMot_35,-0.112506726137076,0.0995228059668577,51.999998756675,-1.13046175742414,0.263468979976679,(Intercept),0.929888706938718,SomMot
LH_SomMot_36,0.0393237350166861,0.0959645696120465,51.9999988108365,0.409773473435656,0.683655371879221,(Intercept),0.965458763494532,SomMot
LH_SomMot_37,0.157301355837195,0.119285475691123,51.9999997585896,1.31869663867972,0.19304901760472,(Intercept),0.929888706938718,SomMot
LH_DorsAttn_Post_1,-0.122906852848449,0.100105992534901,51.9999993564916,-1.22776718692038,0.225063214885159,(Intercept),0.929888706938718,DorsAttn
LH_DorsAttn_Post_2,-0.097244086340088,0.0873319100397914,51.9999976801232,-1.113500051651,0.270614462275613,(Intercept),0.929888706938718,DorsAttn
LH_DorsAttn_Post_3,-0.046891011793807,0.0988431826162714,51.9999988147738,-0.474398036896961,0.637202276845684,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_Post_4,0.0391277186824042,0.103030185216854,51.9999987935704,0.379769468530505,0.705663201487652,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_Post_5,0.0356279290761563,0.111310941994407,51.9999993508532,0.320075712574121,0.750193521060687,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_Post_6,-0.0440499212782395,0.116345195737849,51.9999992636351,-0.378614011510142,0.706515961184804,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_Post_7,-0.10564148383833,0.108876351217361,51.9999968497642,-0.970288613249236,0.336394379912799,(Intercept),0.929888706938718,DorsAttn
LH_DorsAttn_Post_8,0.00223251174905259,0.0936801072458239,51.9999996473025,0.023831225376315,0.981078449855488,(Intercept),0.997074744127589,DorsAttn
LH_DorsAttn_Post_9,0.0324490159286368,0.0804033921551598,51.9998753144287,0.403577698140121,0.688178118285601,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_Post_10,0.0547628050685948,0.0815501980561222,51.9999997456907,0.671522649533082,0.504860067093496,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_Post_11,-0.0065822797506074,0.108005771612778,51.9999985909854,-0.0609437778400045,0.951637618976058,(Intercept),0.994087331707222,DorsAttn
LH_DorsAttn_Post_12,-0.0784203285751524,0.084997812536239,51.9999977580877,-0.922615844280907,0.360468642339144,(Intercept),0.929888706938718,DorsAttn
LH_DorsAttn_Post_13,0.0556633063197999,0.100522127669784,51.9999994634301,0.553741823916169,0.582128953086129,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_Post_14,0.143911360388637,0.0952654195477788,51.9999997332858,1.51063587471487,0.136934619527312,(Intercept),0.928370301880084,DorsAttn
LH_DorsAttn_Post_15,-0.0224140474910746,0.0887869586010582,51.9999996336444,-0.252447519818608,0.801690397000876,(Intercept),0.966108262450053,DorsAttn
LH_DorsAttn_Post_16,-0.00896306327077753,0.0808079505048213,51.9999975792482,-0.110918086831602,0.912108314011333,(Intercept),0.994087331707222,DorsAttn
LH_DorsAttn_Post_17,-0.0443239819382578,0.095743569124836,51.9999971522397,-0.462944742330063,0.645335617074471,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_FEF_1,0.263184769130406,0.116767629874279,51.9999995580658,2.25391891069273,0.0284425187538538,(Intercept),0.928370301880084,DorsAttn
LH_DorsAttn_FEF_2,0.129536761614748,0.0917903658011899,51.9999992894209,1.41122393928916,0.164133963104891,(Intercept),0.929888706938718,DorsAttn
LH_DorsAttn_FEF_3,0.217617642497294,0.107749076735023,51.9999991604542,2.01967060035661,0.0485846735574881,(Intercept),0.928370301880084,DorsAttn
LH_DorsAttn_FEF_4,0.0100974946014424,0.0952578760274844,51.9999972936573,0.106001676948256,0.915988893897678,(Intercept),0.994087331707222,DorsAttn
LH_DorsAttn_PrCv_1,0.0454826742542275,0.101808591440859,51.9999996123903,0.446746916056182,0.656912927146556,(Intercept),0.965458763494532,DorsAttn
LH_DorsAttn_PrCv_2,0.0676808967346786,0.106256390840071,51.9999991809928,0.636958362688475,0.526946341882548,(Intercept),0.965458763494532,DorsAttn
LH_SalVentAttn_ParOper_1,0.0469400747660111,0.0825427318799241,51.9999975628617,0.568676050537016,0.572023970933432,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_ParOper_2,0.179374195048588,0.107239640330952,51.9999991546862,1.67264823431915,0.100403493991314,(Intercept),0.928370301880084,SalVentAttn
LH_SalVentAttn_ParOper_3,0.0752141381998555,0.0990004763854328,51.9999988895121,0.759735113869843,0.450843652838405,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_ParOper_4,0.111442763889408,0.101387516793701,51.9993389618698,1.09917638200141,0.276754273379113,(Intercept),0.929888706938718,SalVentAttn
LH_SalVentAttn_TempOcc_1,-0.0276518926310073,0.095751301723838,51.9999968570645,-0.288788686244285,0.773891238867681,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_FrOperIns_1,-0.00941103630742236,0.0893981517390711,51.9999977757361,-0.105271038878864,0.916565773298358,(Intercept),0.994087331707222,SalVentAttn
LH_SalVentAttn_FrOperIns_2,-0.0356982517262558,0.0854286418731861,51.9999978923202,-0.417872167267364,0.677761142143765,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_FrOperIns_3,-0.0444045700702007,0.0952594344536425,51.9999972941735,-0.466143540793431,0.643059597520789,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_FrOperIns_4,0.143930709132839,0.0821666367292146,51.9999997527586,1.75169283862953,0.0857226989436926,(Intercept),0.928370301880084,SalVentAttn
LH_SalVentAttn_FrOperIns_5,-0.0583932307725652,0.0865159138079143,51.9999992712359,-0.674942079467737,0.50270268251237,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_FrOperIns_6,0.0912412320416523,0.095651363178605,51.9999978991817,0.953893692777615,0.34455085118131,(Intercept),0.929888706938718,SalVentAttn
LH_SalVentAttn_FrOperIns_7,0.159191701871356,0.103262923259264,51.9999988456667,1.54161529469461,0.129231188308805,(Intercept),0.928370301880084,SalVentAttn
LH_SalVentAttn_FrOperIns_8,0.0211985053268901,0.109604073888353,51.9999991843216,0.193409830263095,0.847391518266222,(Intercept),0.988003935618477,SalVentAttn
LH_SalVentAttn_FrOperIns_9,0.0340935685061885,0.0981096313448045,51.9999996108295,0.347504807008878,0.72961477343767,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_PFCl_1,-0.0604680567825885,0.0950877630710542,51.9999992047823,-0.63591838560135,0.527618661159877,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_Med_1,0.0694392485154635,0.10677239304043,51.9999988560586,0.650348339473576,0.51833042206734,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_Med_2,-0.0528615108774182,0.100619851784233,51.9999972772812,-0.525358663723472,0.601566974060042,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_Med_3,-0.105116282200714,0.11223402267802,51.9999992718235,-0.936581258450254,0.3533035739934,(Intercept),0.929888706938718,SalVentAttn
LH_SalVentAttn_Med_4,0.0887625263441425,0.0984433341123041,51.9999987415586,0.901661114432413,0.371394378544318,(Intercept),0.934325480614637,SalVentAttn
LH_SalVentAttn_Med_5,-0.0272172878161663,0.0828853791082872,51.9999753678825,-0.328372604541119,0.74394863945579,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_Med_6,0.031784208052694,0.0956034803985142,51.9999976470679,0.33245869209159,0.740879460606267,(Intercept),0.965458763494532,SalVentAttn
LH_SalVentAttn_Med_7,-0.120552850523529,0.0975876837153146,51.9999965937813,-1.23532853669536,0.222260548614215,(Intercept),0.929888706938718,SalVentAttn
LH_Limbic_OFC_1,-0.0901224626725658,0.0918232518979928,51.9999992432909,-0.981477575774419,0.330901851604696,(Intercept),0.929888706938718,Limbic
LH_Limbic_OFC_2,-0.0782953101669763,0.0774107369067054,51.9999992662717,-1.01142700994226,0.31649538310637,(Intercept),0.929888706938718,Limbic
LH_Limbic_OFC_3,-0.136230195140125,0.1105283445793,51.9999992596552,-1.23253628432284,0.223292506405305,(Intercept),0.929888706938718,Limbic
LH_Limbic_OFC_4,-0.0598278287543306,0.104350566402998,51.9999991487723,-0.573334969005131,0.568889237813407,(Intercept),0.965458763494532,Limbic
LH_Limbic_OFC_5,0.0235175103442656,0.0863207946254866,51.9999979098648,0.272443163276001,0.786360237280965,(Intercept),0.966108262450053,Limbic
LH_Limbic_TempPole_1,0.0266433724320067,0.0893096026811458,51.999999361653,0.298325954120849,0.766643245912365,(Intercept),0.965458763494532,Limbic
LH_Limbic_TempPole_2,-0.0317162603378252,0.102030791186551,51.9999986639022,-0.310849891184669,0.757157405555092,(Intercept),0.965458763494532,Limbic
LH_Limbic_TempPole_3,0.122848212017568,0.103305053045849,51.9999993279013,1.18917911946713,0.239771170250966,(Intercept),0.929888706938718,Limbic
LH_Limbic_TempPole_4,-0.034921405708472,0.0840250845722666,51.9999983758157,-0.415606909368089,0.679407773017658,(Intercept),0.965458763494532,Limbic
LH_Limbic_TempPole_5,-0.157384855856149,0.0822152256571195,51.9999971590281,-1.91430303326693,0.0610914744624138,(Intercept),0.928370301880084,Limbic
LH_Limbic_TempPole_6,-0.217437597549557,0.0832834251706774,51.9999975914694,-2.61081478222047,0.0117745373133869,(Intercept),0.839718250387365,Limbic
LH_Limbic_TempPole_7,0.0536237952143159,0.0887906056264625,51.9999977516916,0.603935459567743,0.548512366398831,(Intercept),0.965458763494532,Limbic
LH_Limbic_TempPole_8,-0.0307248013164431,0.0999728805382911,51.9999972573452,-0.307331359774865,0.759818671740559,(Intercept),0.965458763494532,Limbic
LH_Cont_Par_1,0.0621134609559288,0.114872477806238,51.9999991637494,0.540716646338031,0.591011683365324,(Intercept),0.965458763494532,Cont
LH_Cont_Par_2,-0.0829387836356007,0.0904176177688095,51.9999976955084,-0.917285653860826,0.363227917031249,(Intercept),0.929888706938718,Cont
LH_Cont_Par_3,-0.00807113741474635,0.100518671830888,51.9999991608803,-0.0802949070827872,0.936310943063896,(Intercept),0.994087331707222,Cont
LH_Cont_Par_4,-0.0488876126524619,0.101093511388395,51.9999996831804,-0.483588036275036,0.630708473822737,(Intercept),0.965458763494532,Cont
LH_Cont_Par_5,-0.123055237635304,0.10158299975482,51.9999971633106,-1.21137629261106,0.231227621421577,(Intercept),0.929888706938718,Cont
LH_Cont_Par_6,0.137101131172549,0.0892080858644281,51.9999978492893,1.53686888182877,0.130388472327888,(Intercept),0.928370301880084,Cont
LH_Cont_Temp_1,-0.125179488712088,0.0928389956360372,51.9999987785687,-1.34835031178964,0.183389663909794,(Intercept),0.929888706938718,Cont
LH_Cont_OFC_1,-0.0303228071623244,0.087791141808207,51.999997286166,-0.345397115674485,0.731189208559409,(Intercept),0.965458763494532,Cont
LH_Cont_PFCl_1,0.0148243288373509,0.0897469766632021,51.9999987879242,0.165179144618798,0.86944346334426,(Intercept),0.988003935618477,Cont
LH_Cont_PFCl_2,0.0303496340872002,0.0873707010491784,51.9999996674755,0.347366264923493,0.729718227767638,(Intercept),0.965458763494532,Cont
LH_Cont_PFCl_3,0.0121556519914731,0.111219563783514,51.9999992869645,0.109294188701672,0.913389842003869,(Intercept),0.994087331707222,Cont
