parcel,estimate,se,df,statistic,p.value,term,p.fdr,network
LH_Vis_1,0.0686076777440046,0.0420383180622041,51.9999982791502,1.63202718154627,0.108715805634972,(Intercept),0.165978329213698,Vis
LH_Vis_2,0.0870397381556,0.0673225810766416,51.9999419138193,1.2928758339867,0.201768948827578,(Intercept),0.274342100697791,Vis
LH_Vis_3,0.12763607818017,0.0659904578496066,51.9999383413375,1.93415960942496,0.0585437724280558,(Intercept),0.102259864503154,Vis
LH_Vis_4,0.163960550536051,0.0581873004675166,51.999997200052,2.81780644949465,0.00682148676276161,(Intercept),0.0203626470530197,Vis
LH_Vis_5,0.110198092667652,0.0616952187062124,51.9999972068001,1.7861690902241,0.0799029089018859,(Intercept),0.130988375248993,Vis
LH_Vis_6,0.13462048624364,0.0628708324246932,51.9999971187637,2.14122321992299,0.0369630159293528,(Intercept),0.074170180917559,Vis
LH_Vis_7,-0.0280100618029255,0.0629090275299637,51.9999972422138,-0.445247095730169,0.657989271743913,(Intercept),0.740708162376911,Vis
LH_Vis_8,0.0516042097274803,0.0629911522666054,51.9999993444372,0.819229492882894,0.416394459090897,(Intercept),0.498675998911254,Vis
LH_Vis_9,0.226776559628552,0.0585199741126269,51.9999430657878,3.87519924721943,0.00030020621501065,(Intercept),0.00196856534433213,Vis
LH_Vis_10,0.00735768885700762,0.0569124788859556,51.9999972331448,0.129280765853678,0.897634257563513,(Intercept),0.935068868188932,Vis
LH_Vis_11,0.0720116360314235,0.0538147563726577,51.9999976847345,1.33813921840983,0.186673361605904,(Intercept),0.260171932551783,Vis
LH_Vis_12,0.0298746790581964,0.0674168131197356,51.9999406314744,0.443133955399783,0.659507005187578,(Intercept),0.740708162376911,Vis
LH_Vis_13,0.0493068698938656,0.059240277403188,51.9999993166582,0.832320037232173,0.409034610180128,(Intercept),0.492812783349552,Vis
LH_Vis_14,0.0696845487849804,0.0638840297087969,51.9999330238985,1.09079763913805,0.28039067592112,(Intercept),0.359475225539897,Vis
LH_Vis_15,0.0872348815260608,0.0566685643944407,51.999997123215,1.53938753272209,0.129773341439281,(Intercept),0.189450133488001,Vis
LH_Vis_16,0.0361682811102854,0.0613154207027071,51.9999380022339,0.589872509978368,0.557830721580179,(Intercept),0.646760256904555,Vis
LH_Vis_17,0.0667561665253086,0.0663542232924279,51.9999435056917,1.00605753805767,0.319046615730974,(Intercept),0.402467152455246,Vis
LH_Vis_18,0.0655888431767112,0.0516129076441402,51.999997847726,1.27078372776306,0.209461471195515,(Intercept),0.280216014977278,Vis
LH_Vis_19,0.100623310040346,0.0666919288340551,51.9999333946934,1.50877792559756,0.137407980577393,(Intercept),0.199866153567118,Vis
LH_Vis_20,0.0049825329392502,0.0502710822843167,51.9999991958952,0.099113301581029,0.92142941531672,(Intercept),0.942638788047796,Vis
LH_Vis_21,0.0683556391902691,0.0612077370618523,51.9999992786017,1.11678102265394,0.269221721696382,(Intercept),0.346265879995347,Vis
LH_Vis_22,0.151192655419533,0.0727272268128435,51.9999994888039,2.07890032447701,0.0425765037381864,(Intercept),0.0810981023584503,Vis
LH_Vis_23,0.110774965560021,0.0592856108240494,51.9999972289486,1.86849665577005,0.0673310800341695,(Intercept),0.115095863306273,Vis
LH_Vis_24,-0.00454753066408976,0.0603169688762528,51.9999971376927,-0.075393885813784,0.940190635511259,(Intercept),0.954508259402294,Vis
LH_Vis_25,0.182014301951935,0.0590602756276585,51.9999976727793,3.08183969711607,0.0032867267501471,(Intercept),0.0118954910876306,Vis
LH_Vis_26,0.0565438456872816,0.0586288545929145,51.9999972383184,0.964437154365201,0.339290694316224,(Intercept),0.421479123374191,Vis
