parcel,estimate,se,df,statistic,p.value,term,p.fdr,hemi,num.roi
LH_Vis_1,0.0329727013888889,0.0149409022229831,809.000020569841,2.20687485245489,0.0276029463041519,hiloInCon,0.0912494092699237,L,1
LH_Vis_2,0.00753798379629623,0.0126696968954379,809.000000207465,0.594961652082658,0.552035474962614,hiloInCon,0.683750961194739,L,2
LH_Vis_3,0.0556021666666669,0.0177107462825345,809.00014194308,3.1394592740284,0.00175406128730726,hiloInCon,0.0212613489370577,L,3
LH_Vis_4,0.0292629699074074,0.0147813431076896,809.000193765274,1.97972333733219,0.0480731584798947,hiloInCon,0.134623807441286,L,4
LH_Vis_5,0.0162055648148149,0.0161491783563946,809.000004185932,1.00349159921179,0.315923776265934,hiloInCon,0.464593788626374,L,5
LH_Vis_6,0.0414132546296298,0.0229848767468824,809.000168622659,1.80176100510293,0.0719552008938865,hiloInCon,0.174436850651846,L,6
LH_Vis_7,0.0300268865740743,0.0152619382233602,809.000003757566,1.96743599237707,0.0494742492346725,hiloInCon,0.134623807441286,L,7
LH_Vis_8,0.0521411319444444,0.0170389801826149,809.000165628848,3.06010872632183,0.00228562137213711,hiloInCon,0.0250767604246462,L,8
LH_Vis_9,0.0153665833333332,0.0199974467122486,809.000152999178,0.768427267463155,0.442457635601413,hiloInCon,0.584102489242789,L,9
LH_Vis_10,0.0357550648148152,0.0193007249536228,809.000193391085,1.85252444665835,0.0643145974733476,hiloInCon,0.16478771310804,L,10
LH_Vis_11,0.029098974537037,0.0190039986011933,809.000048964871,1.53120272989338,0.126110217505844,hiloInCon,0.262729619803842,L,11
LH_Vis_12,0.0681755277777778,0.0286554044387186,809.000174698958,2.37915077847097,0.0175836151771556,hiloInCon,0.0733940391169134,L,12
LH_Vis_13,0.00834070138888908,0.0267142890161755,809.00000027653,0.312218729977757,0.754954752552217,hiloInCon,0.843524863186834,L,13
LH_Vis_14,0.0395761828703706,0.0172498473652302,809.000000215456,2.29429177154011,0.0220291115602849,hiloInCon,0.0855487143933465,L,14
